Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-10,84.77,85.6,83.5,84.3,16602,EQ,246,67.49,14120
2026-04-13,84.3,84.3,80.0,81.46,2880,EQ,178,16.18,2312
2026-04-15,82.0,83.3,80.02,83.21,8448,EQ,169,49.99,7055
2026-04-16,83.21,83.4,81.25,81.72,5389,EQ,77,69.99,4051
2026-04-17,81.99,83.0,81.32,82.31,16071,EQ,129,124.58,14723
2026-04-20,81.32,86.89,81.32,83.11,27526,EQ,358,76.89,24142
2026-04-21,83.39,84.6,81.11,81.55,11911,EQ,196,60.77,9556
2026-04-22,81.55,82.5,81.0,82.15,6710,EQ,82,81.83,6570
2026-04-23,83.27,83.3,80.13,80.95,4515,EQ,73,61.85,3858
2026-04-24,81.99,82.99,81.0,81.47,2243,EQ,53,42.32,1985
2026-04-27,81.7,82.7,79.01,80.79,26670,EQ,202,132.03,25364
2026-04-28,80.79,81.79,78.03,80.62,9802,EQ,164,59.77,7650
2026-04-29,81.0,82.29,81.0,81.62,3777,EQ,36,104.92,3379
2026-04-30,81.75,81.75,81.0,81.75,1006,EQ,17,59.18,997
