Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-10,84.77,85.6,83.5,84.3,16602,EQ,246,67.49,14120
2026-04-13,84.3,84.3,80.0,81.46,2880,EQ,178,16.18,2312
2026-04-15,82.0,83.3,80.02,83.21,8448,EQ,169,49.99,7055
2026-04-16,83.21,83.4,81.25,81.72,5389,EQ,77,69.99,4051
2026-04-17,81.99,83.0,81.32,82.31,16071,EQ,129,124.58,14723
2026-04-20,81.32,86.89,81.32,83.11,27526,EQ,358,76.89,24142
2026-04-21,83.39,84.6,81.11,81.55,11911,EQ,196,60.77,9556
2026-04-22,81.55,82.5,81.0,82.15,6710,EQ,82,81.83,6570
2026-04-23,83.27,83.3,80.13,80.95,4515,EQ,73,61.85,3858
2026-04-24,81.99,82.99,81.0,81.47,2243,EQ,53,42.32,1985
2026-04-27,81.7,82.7,79.01,80.79,26670,EQ,202,132.03,25364
2026-04-28,80.79,81.79,78.03,80.62,9802,EQ,164,59.77,7650
2026-04-29,81.0,82.29,81.0,81.62,3777,EQ,36,104.92,3379
2026-04-30,81.75,81.75,81.0,81.75,1006,EQ,17,59.18,997
2026-05-04,83.8,83.8,81.0,81.16,8309,EQ,66,125.89,7147
2026-05-05,81.16,81.9,79.01,80.76,6527,EQ,58,112.53,6188
2026-05-06,80.81,82.0,80.55,81.58,511,EQ,21,24.33,511
2026-05-07,82.0,83.55,79.15,79.81,19720,EQ,263,74.98,15905
2026-05-08,81.99,81.99,73.0,75.02,61256,EQ,1099,55.74,46601
2026-05-11,77.99,77.99,73.6,75.09,7157,EQ,177,40.44,6456
2026-05-12,76.1,76.1,73.5,73.84,6040,EQ,56,107.86,5364
2026-05-13,75.0,75.0,72.24,74.3,1299,EQ,40,32.48,1197
2026-05-14,75.5,75.5,73.5,74.17,3975,EQ,45,88.33,3609
2026-05-15,75.5,75.5,73.5,73.56,30078,EQ,143,210.34,29219
2026-05-18,74.99,75.0,72.5,73.03,55124,EQ,196,281.24,38207
2026-05-19,73.1,73.1,71.6,72.6,15462,EQ,75,206.16,15152
2026-05-20,73.05,73.05,71.5,71.72,1657,EQ,58,28.57,1538
2026-05-21,73.0,73.0,71.0,72.19,2170,EQ,52,41.73,1803
2026-05-22,72.19,73.09,70.31,72.73,1837,EQ,97,18.94,1531
2026-05-25,72.0,72.0,70.2,70.75,3727,EQ,114,32.69,3355
2026-05-26,71.0,73.3,70.05,70.83,21986,EQ,505,43.54,16287
2026-05-27,71.9,72.9,71.0,72.07,13234,EQ,125,105.87,10876
2026-05-29,86.0,86.0,73.1,81.84,130288,EQ,2162,60.26,52245
2026-06-01,76.97,84.59,76.96,82.17,229769,EQ,1237,185.75,62669
2026-06-02,82.17,83.0,80.0,82.71,190001,EQ,704,269.89,49070
2026-06-03,82.71,82.71,75.3,78.35,14924,EQ,256,58.3,7798
2026-06-04,78.5,79.3,76.2,77.5,14451,EQ,248,58.27,12139
2026-06-05,77.95,83.75,74.0,74.17,22051,EQ,392,56.25,15906
2026-06-08,74.2,76.4,74.0,74.56,10470,EQ,181,57.85,7553
2026-06-09,74.56,79.0,74.49,77.89,35687,EQ,371,96.19,29352
2026-06-10,77.89,77.89,75.51,76.39,3032,EQ,90,33.69,2602
2026-06-11,76.39,77.0,73.31,74.69,2080,EQ,77,27.01,1263
2026-06-12,75.1,77.8,73.6,76.68,9238,EQ,197,46.89,7415
2026-06-15,76.7,78.59,74.34,75.21,9223,EQ,376,24.53,5057
2026-06-16,75.21,76.0,73.92,75.7,13958,EQ,181,77.12,12827
2026-06-17,76.2,77.2,74.75,75.91,6387,EQ,133,48.02,5405
2026-06-18,76.91,78.0,75.76,77.44,8660,EQ,269,32.19,7272
2026-06-19,77.4,77.4,75.0,75.73,14754,EQ,192,76.84,11910
2026-06-22,75.73,76.6,72.01,75.22,11966,EQ,138,86.71,8766
2026-06-23,76.0,77.0,75.01,76.7,18746,EQ,85,220.54,16722
2026-06-24,77.0,77.5,74.4,76.99,10904,EQ,103,105.86,10458
2026-06-25,76.99,81.9,75.61,80.49,52847,EQ,622,84.96,45984
