Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,156.0,183.0,150.0,169.2,861,EQ,12,71.75,861
2026-04-21,141.5,168.4,141.5,154.95,1113,EQ,66,16.86,746
2026-04-22,155.0,155.05,150.0,151.35,915,EQ,45,20.33,908
2026-04-23,155.0,155.05,149.95,154.0,1604,EQ,32,50.12,1105
2026-04-24,150.05,160.0,147.0,159.95,4751,EQ,119,39.92,3955
2026-04-27,157.05,162.5,153.55,158.0,4076,EQ,78,52.26,3483
2026-04-28,158.95,160.0,158.0,159.95,504,EQ,14,36.0,502
2026-04-29,159.95,159.95,150.0,155.25,4572,EQ,60,76.2,4256
2026-04-30,155.05,157.05,148.7,150.05,2283,EQ,56,40.77,2182
2026-05-04,152.01,157.0,149.99,154.18,892,EQ,35,25.49,781
2026-05-05,154.0,163.97,150.0,162.58,4653,EQ,207,22.48,1701
2026-05-06,158.0,163.5,153.42,162.97,2935,EQ,147,19.97,1865
2026-05-07,163.0,194.0,157.05,186.87,67712,EQ,662,102.28,40303
2026-05-08,199.0,213.6,187.01,192.64,76351,EQ,1281,59.6,42064
2026-05-11,193.6,194.0,186.0,190.43,10613,EQ,257,41.3,8123
2026-05-12,185.0,194.5,175.0,180.61,3442,EQ,100,34.42,3109
2026-05-13,176.0,189.5,175.99,188.95,7963,EQ,73,109.08,7256
2026-05-14,194.49,194.49,181.0,189.97,3088,EQ,44,70.18,2621
2026-05-15,186.0,186.99,181.4,185.4,303,EQ,13,23.31,224
2026-05-18,180.0,180.0,168.21,171.28,4843,EQ,114,42.48,3688
2026-05-19,172.0,172.0,166.0,170.5,26392,EQ,245,107.72,23769
2026-05-20,170.1,170.1,164.55,165.4,2391,EQ,34,70.32,1985
2026-05-21,168.0,168.85,165.5,166.0,2052,EQ,42,48.86,1770
2026-05-22,164.55,169.9,164.0,165.34,19820,EQ,195,101.64,17737
2026-05-25,171.05,185.0,171.0,179.87,17634,EQ,240,73.47,13212
2026-05-26,184.99,184.99,171.84,179.43,1347,EQ,51,26.41,1092
2026-05-27,180.0,180.0,173.01,173.47,2602,EQ,37,70.32,2427
2026-05-29,180.0,180.0,173.01,175.67,1420,EQ,25,56.8,1274
2026-06-01,180.0,181.0,176.0,176.05,1045,EQ,12,87.08,1045
2026-06-02,176.0,180.0,176.0,180.0,970,EQ,21,46.19,878
2026-06-03,185.0,185.0,167.33,173.27,5844,EQ,105,55.66,5370
2026-06-04,198.0,198.0,167.01,173.42,2405,EQ,179,13.44,592
2026-06-05,176.0,180.0,170.0,179.99,4815,EQ,82,58.72,3962
2026-06-08,179.0,183.9,176.06,180.94,5469,EQ,138,39.63,4762
2026-06-09,184.56,189.6,181.0,184.07,12562,EQ,134,93.75,11692
2026-06-10,185.0,188.9,180.01,184.69,2128,EQ,60,35.47,1742
2026-06-11,176.9,185.0,172.0,172.67,5724,EQ,95,60.25,5026
2026-06-12,178.7,183.45,175.01,175.39,1736,EQ,29,59.86,1678
