Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-09,97.0,98.48,93.6,96.81,345985,EQ,3632,95.26,240046
2026-03-10,98.01,101.98,97.0,100.0,443208,EQ,4821,91.93,263357
2026-03-11,101.4,104.9,99.54,100.21,496839,EQ,3524,140.99,312453
2026-03-12,101.35,101.9,97.0,98.02,442673,EQ,3106,142.52,301122
2026-03-13,96.56,99.69,93.0,95.23,460671,EQ,7177,64.19,237819
2026-03-16,97.2,98.65,91.11,91.97,1077294,EQ,9146,117.79,754765
2026-03-17,92.89,96.2,92.4,93.2,620688,EQ,3844,161.47,407900
2026-03-18,94.6,103.5,93.77,100.45,1017526,EQ,6520,156.06,597571
2026-03-19,98.0,101.29,95.55,96.2,440496,EQ,5196,84.78,190521
2026-03-20,97.47,103.99,97.47,101.3,917979,EQ,4460,205.82,709686
2026-03-23,101.3,101.3,94.0,94.75,560709,EQ,5358,104.65,261992
2026-03-24,98.39,98.4,93.95,94.43,606006,EQ,4043,149.89,411367
2026-03-25,96.5,98.5,95.1,95.7,522474,EQ,3491,149.66,310339
2026-03-27,95.0,95.89,88.1,89.15,1095742,EQ,6145,178.31,749794
2026-03-30,87.76,90.0,79.75,82.18,1128366,EQ,6571,171.72,756913
2026-04-01,86.9,92.19,84.55,89.68,1219592,EQ,6828,178.62,356445
2026-04-02,88.9,92.6,85.3,91.94,388716,EQ,3572,108.82,164841
2026-04-06,91.0,95.79,89.26,94.05,414366,EQ,4233,97.89,201717
2026-04-07,93.0,95.9,92.75,93.1,244877,EQ,2492,98.27,134523
2026-04-08,98.39,101.8,96.7,99.19,728862,EQ,4267,170.81,316208
2026-04-09,99.99,109.0,98.12,106.96,1615354,EQ,10439,154.74,521435
2026-04-10,108.85,122.4,108.0,119.04,4164794,EQ,26207,158.92,1229370
2026-04-13,114.51,136.68,114.5,131.4,9906675,EQ,54681,181.17,1798733
2026-04-15,134.11,143.9,131.11,133.45,5042990,EQ,27228,185.21,1469193
2026-04-16,135.05,138.0,128.43,135.73,1861504,EQ,13106,142.03,473440
2026-04-17,137.0,147.0,136.0,142.86,3750921,EQ,18923,198.22,1415490
2026-04-20,145.9,146.8,138.0,142.86,1510629,EQ,9501,159.0,502364
2026-04-21,143.9,146.17,141.72,143.6,712455,EQ,4616,154.34,379375
2026-04-22,143.5,153.8,141.11,152.51,1658123,EQ,8599,192.83,1032391
2026-04-23,153.99,160.9,153.64,154.77,1451781,EQ,9508,152.69,708566
2026-04-24,156.0,159.8,142.0,144.5,1484741,EQ,10609,139.95,638528
2026-04-27,145.7,151.99,145.01,147.55,707245,EQ,6343,111.5,309496
2026-04-28,148.27,161.81,148.0,156.43,2239323,EQ,20912,107.08,808692
2026-04-29,159.8,161.72,151.0,152.52,1024416,EQ,9878,103.71,487318
2026-04-30,152.52,152.99,145.0,147.18,703372,EQ,6786,103.65,356050
2026-05-04,149.7,150.89,132.47,133.74,1611523,EQ,11005,146.44,844987
2026-05-05,133.79,137.65,129.11,136.64,844419,EQ,8389,100.66,341943
2026-05-06,139.0,143.32,131.7,134.75,696628,EQ,6395,108.93,362291
2026-05-07,135.5,140.5,132.69,138.82,759913,EQ,6421,118.35,311436
2026-05-08,139.9,142.9,137.0,138.62,797342,EQ,5551,143.64,425188
