Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-13,100.05,105.05,100.05,104.4,524400,ST,254,2064.57,520800
2026-03-16,100.15,106.05,100.15,105.8,57600,ST,38,1515.79,54000
2026-03-17,105.0,106.05,103.0,103.0,32400,ST,17,1905.88,32400
2026-03-18,101.0,104.5,99.0,104.5,22800,ST,14,1628.57,20400
2026-03-19,102.05,102.05,102.0,102.0,2400,ST,2,1200.0,2400
2026-03-20,100.25,102.05,100.0,102.05,13200,ST,8,1650.0,12000
2026-03-24,102.05,102.05,101.5,101.75,13200,ST,4,3300.0,13200
2026-03-25,100.0,100.0,100.0,100.0,18000,ST,2,9000.0,18000
2026-03-30,109.0,109.0,109.0,109.0,1200,SM,1,1200.0,1200
2026-04-01,118.0,120.0,117.0,120.0,3600,SM,3,1200.0,3600
2026-04-02,143.6,143.6,112.1,123.0,8400,SM,6,1400.0,6000
2026-04-06,125.8,129.0,120.0,126.25,18000,SM,14,1285.71,15600
2026-04-07,127.9,127.9,120.0,123.7,4800,SM,4,1200.0,4800
2026-04-08,124.0,124.0,119.0,119.0,9600,SM,8,1200.0,8400
2026-04-09,125.35,128.0,125.35,128.0,2400,SM,2,1200.0,2400
2026-04-10,120.15,121.65,117.3,120.0,8400,SM,7,1200.0,3600
2026-04-13,122.45,125.0,122.45,125.0,6000,SM,4,1500.0,3600
2026-04-15,122.0,124.0,122.0,124.0,2400,SM,2,1200.0,2400
2026-04-16,129.8,129.8,125.0,125.0,3600,SM,3,1200.0,3600
2026-04-17,130.8,143.7,130.8,139.9,9600,SM,7,1371.43,7200
2026-04-20,146.05,149.95,142.0,145.0,10800,SM,9,1200.0,6000
2026-04-21,169.0,169.0,147.05,156.0,14400,SM,12,1200.0,6000
2026-04-23,158.05,158.05,150.0,150.0,3600,SM,3,1200.0,1200
2026-04-24,141.7,152.6,141.7,150.0,6000,SM,5,1200.0,2400
2026-04-28,144.2,144.2,140.0,140.0,4800,SM,4,1200.0,3600
2026-04-30,130.0,130.0,125.1,126.2,12000,SM,9,1333.33,6000
