Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,388.2,389.0,365.0,370.6,1422,EQ,52,27.35,1251
2026-04-21,371.95,385.0,367.3,376.15,2829,EQ,116,24.39,2238
2026-04-22,375.2,383.9,357.05,380.8,3273,EQ,236,13.87,2294
2026-04-23,380.8,389.0,377.0,379.4,8876,EQ,222,39.98,8332
2026-04-24,380.35,380.4,362.25,368.95,2231,EQ,167,13.36,1615
2026-04-27,378.0,379.95,368.45,373.75,3498,EQ,131,26.7,2920
2026-04-28,379.05,395.0,377.1,380.1,25796,EQ,996,25.9,19883
2026-04-29,380.15,393.0,379.8,389.05,9085,EQ,422,21.53,7264
2026-04-30,389.05,389.05,361.55,370.4,10194,EQ,859,11.87,5752
2026-05-04,370.4,377.9,367.05,375.0,8381,EQ,488,17.17,6911
2026-05-05,374.95,390.0,370.0,380.25,6896,EQ,370,18.64,4888
2026-05-06,380.3,389.9,377.0,381.5,12963,EQ,304,42.64,11743
2026-05-07,385.95,390.0,376.5,388.5,12300,EQ,564,21.81,7850
2026-05-08,392.5,411.0,384.0,403.4,48129,EQ,1456,33.06,33091
