Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-19,52.5,55.1,52.5,55.1,6273000,ST,1297,4836.55,6273000
2026-05-20,57.85,57.85,57.8,57.85,1647000,ST,211,7805.69,1419000
2026-05-21,60.7,60.7,60.65,60.7,969000,ST,209,4636.36,654000
2026-05-22,63.65,63.7,63.65,63.7,1224000,ST,241,5078.84,819000
2026-05-25,66.85,66.85,66.8,66.85,384000,ST,69,5565.22,324000
2026-05-26,70.15,70.15,70.1,70.15,486000,ST,92,5282.61,234000
2026-05-27,66.65,66.65,66.65,66.65,21000,ST,3,7000.0,21000
2026-05-29,63.35,63.35,63.35,63.35,9000,ST,3,3000.0,9000
2026-06-01,60.2,60.2,60.2,60.2,375000,ST,77,4870.13,375000
2026-06-02,60.5,63.2,60.3,63.2,618000,ST,46,13434.78,567000
2026-06-03,66.0,72.0,66.0,68.25,450000,SM,127,3543.31,285000
2026-06-04,72.0,72.0,69.25,69.3,120000,SM,36,3333.33,57000
2026-06-05,70.35,71.9,70.25,70.25,75000,SM,24,3125.0,42000
2026-06-08,71.3,72.45,71.25,71.45,114000,SM,38,3000.0,66000
