Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,5845.85,5900.0,5845.85,5880.45,6,EQ,4,1.5,6
2026-04-21,6100.0,6200.0,6000.0,6058.4,184,EQ,73,2.52,116
2026-04-22,6014.95,6287.25,6014.95,6232.6,264,EQ,129,2.05,106
2026-04-23,6149.95,6266.0,6000.0,6200.0,334,EQ,82,4.07,278
2026-04-24,6011.05,6220.05,6000.0,6070.0,100,EQ,57,1.75,71
2026-04-27,6090.15,6347.0,5855.05,6311.25,237,EQ,106,2.24,146
2026-04-28,6311.25,6610.3,6101.1,6316.75,554,EQ,210,2.64,234
2026-04-29,6316.8,6489.0,6316.8,6455.65,308,EQ,77,4.0,254
2026-04-30,6450.05,6450.35,6156.6,6248.45,56,EQ,43,1.3,31
2026-05-04,6540.5,6540.5,6243.5,6460.0,83,EQ,52,1.6,38
2026-05-05,6557.0,6678.0,6380.0,6605.5,189,EQ,72,2.62,116
2026-05-06,6640.0,6715.0,6501.0,6687.5,362,EQ,64,5.66,332
2026-05-07,6700.0,6800.0,6400.0,6555.5,436,EQ,154,2.83,336
2026-05-08,6565.0,6650.0,6450.0,6650.0,153,EQ,34,4.5,127
