Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-02,960.0,960.0,768.0,867.5,6824962,EQ,126401,53.99,2587388
2026-03-04,841.0,867.7,811.3,857.5,1259475,EQ,76081,16.55,531718
2026-03-05,857.9,898.0,820.1,829.2,972714,EQ,41312,23.55,372689
2026-03-06,828.8,891.8,825.3,882.7,686594,EQ,43497,15.78,299295
2026-03-09,854.0,879.0,844.1,856.9,239410,EQ,16233,14.75,70529
2026-03-10,869.7,904.9,862.5,891.1,426339,EQ,22345,19.08,182024
2026-03-11,891.1,908.9,858.1,862.7,203472,EQ,11428,17.8,71879
2026-03-12,866.0,914.7,851.8,901.1,201497,EQ,11976,16.83,86728
2026-03-13,891.0,908.9,875.0,897.5,153757,EQ,8898,17.28,61982
2026-03-16,897.0,899.1,852.0,859.6,100876,EQ,9140,11.04,43553
2026-03-17,870.0,907.5,858.7,890.7,255794,EQ,21140,12.1,100665
2026-03-18,914.9,939.6,857.2,867.4,684206,EQ,32372,21.14,178465
2026-03-19,854.0,882.5,842.7,847.6,151372,EQ,12362,12.24,52520
2026-03-20,858.7,900.0,830.0,889.9,329681,EQ,19961,16.52,182229
2026-03-23,876.6,877.0,801.1,834.8,216063,EQ,12401,17.42,112040
2026-03-24,850.0,854.2,814.0,838.1,159151,EQ,9727,16.36,61029
2026-03-25,840.0,848.6,816.4,835.4,283997,EQ,19125,14.85,137127
2026-03-27,824.0,829.7,804.0,808.6,174553,EQ,17496,9.98,102399
2026-03-30,785.0,786.3,727.1,769.7,951131,EQ,72202,13.17,539784
2026-04-01,781.0,839.0,781.0,829.45,248141,EQ,11358,21.85,118699
2026-04-02,801.0,817.8,793.65,810.65,142418,EQ,12243,11.63,82668
2026-04-06,800.0,861.9,800.0,841.4,339831,EQ,24999,13.59,142521
2026-04-07,850.0,861.35,835.0,844.9,173211,EQ,9159,18.91,94466
2026-04-08,874.0,874.0,841.8,848.45,196039,EQ,12455,15.74,94591
2026-04-09,855.9,865.0,850.0,858.8,89370,EQ,4689,19.06,53992
2026-04-10,867.0,888.35,858.85,861.7,118729,EQ,10787,11.01,58716
2026-04-13,854.0,928.95,854.0,889.3,490431,EQ,28601,17.15,224564
2026-04-15,921.0,949.0,905.45,918.3,235440,EQ,15687,15.01,116572
2026-04-16,934.0,1014.3,929.5,969.95,1093705,EQ,67823,16.13,464272
2026-04-17,969.95,1004.0,965.65,998.95,496905,EQ,35759,13.9,306989
2026-04-20,1001.15,1030.0,981.15,1015.45,227366,EQ,18001,12.63,82942
2026-04-21,1035.85,1043.0,993.85,1009.25,264227,EQ,19744,13.38,123959
2026-04-22,1009.5,1067.25,1009.5,1054.35,450887,EQ,27022,16.69,289028
2026-04-23,1052.8,1058.75,1032.3,1052.05,91459,EQ,7427,12.31,42179
2026-04-24,1052.1,1074.7,1040.0,1057.1,126447,EQ,11864,10.66,55713
2026-04-27,1056.0,1078.1,1050.7,1069.55,156814,EQ,12637,12.41,88678
2026-04-28,1090.0,1095.15,1066.0,1070.9,100299,EQ,7558,13.27,48555
2026-04-29,1070.9,1103.0,1065.0,1090.0,192371,EQ,17336,11.1,109945
2026-04-30,1095.0,1150.0,1080.1,1142.15,419910,EQ,37507,11.2,223100
2026-05-04,1142.0,1199.0,1124.5,1156.3,412369,EQ,30085,13.71,240299
2026-05-05,1156.4,1169.3,1138.1,1145.0,133405,EQ,11886,11.22,69482
2026-05-06,1155.0,1196.7,1155.0,1179.8,274438,EQ,16729,16.4,164090
2026-05-07,1200.0,1210.9,1153.5,1166.4,321521,EQ,23403,13.74,184200
2026-05-08,1162.0,1199.0,1148.0,1188.6,322425,EQ,14727,21.89,232954
2026-05-11,1185.0,1249.9,1177.1,1229.1,358973,EQ,25699,13.97,198367
2026-05-12,1230.0,1250.0,1204.2,1221.6,185369,EQ,15246,12.16,106629
2026-05-13,1205.0,1334.4,1188.1,1317.6,1150429,EQ,52565,21.89,739139
2026-05-14,1340.0,1398.6,1333.8,1364.8,335528,EQ,28310,11.85,133707
2026-05-15,1364.1,1364.8,1276.0,1290.0,235522,EQ,28407,8.29,112083
2026-05-18,1279.0,1293.5,1176.6,1193.4,185695,EQ,21515,8.63,93915
2026-05-19,1203.6,1240.0,1202.7,1223.9,137562,EQ,14110,9.75,60935
2026-05-20,1223.9,1223.9,1195.0,1205.2,101085,EQ,9426,10.72,63670
2026-05-21,1225.0,1234.2,1160.5,1172.1,150268,EQ,18341,8.19,66306
2026-05-22,1200.0,1200.6,1105.6,1120.0,259642,EQ,24379,10.65,114661
2026-05-25,1143.5,1145.2,1091.0,1095.5,141124,EQ,12484,11.3,72383
2026-05-26,1100.0,1120.0,1083.2,1103.9,131954,EQ,9654,13.67,73982
