Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,258.95,265.0,258.7,263.4,323,EQ,18,17.94,321
2026-04-21,258.0,263.0,246.15,255.6,536,EQ,33,16.24,488
2026-04-22,255.65,268.0,255.6,266.0,523,EQ,27,19.37,500
2026-04-23,262.0,265.0,258.0,263.9,608,EQ,30,20.27,439
2026-04-24,263.95,275.0,250.0,261.5,2980,EQ,84,35.48,2481
2026-04-27,271.95,271.95,259.2,260.6,2840,EQ,156,18.21,2641
2026-04-28,260.0,260.0,256.0,259.25,469,EQ,34,13.79,457
2026-04-29,266.0,275.0,257.0,269.1,286,EQ,33,8.67,250
2026-04-30,273.9,273.9,254.95,263.05,1974,EQ,55,35.89,1633
2026-05-04,272.95,273.0,265.0,270.5,863,EQ,45,19.18,838
2026-05-05,274.85,274.85,260.15,266.25,4055,EQ,136,29.82,3122
2026-05-06,264.0,268.85,264.0,265.8,984,EQ,72,13.67,895
2026-05-07,267.25,272.6,264.95,269.8,2844,EQ,82,34.68,2581
2026-05-08,273.7,273.7,252.2,257.5,13269,EQ,270,49.14,9875
