Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,61.3,77.9,61.3,66.3,202,EQ,10,20.2,187
2026-04-21,74.9,79.55,69.2,76.25,14338,EQ,281,51.02,4869
2026-04-22,74.0,77.85,71.35,75.4,2692,EQ,100,26.92,1970
2026-04-23,87.65,87.65,70.0,75.55,3561,EQ,51,69.82,2359
2026-04-24,80.2,80.2,70.1,75.5,256,EQ,16,16.0,155
2026-04-27,73.05,78.0,73.05,75.5,331,EQ,9,36.78,329
2026-04-28,85.95,85.95,73.25,74.9,3091,EQ,97,31.87,2336
2026-04-29,78.95,79.0,74.0,74.55,266,EQ,9,29.56,263
2026-04-30,74.0,74.0,71.0,72.05,373,EQ,26,14.35,329
2026-05-04,71.51,86.0,71.51,75.33,3449,EQ,116,29.73,2404
2026-05-05,72.0,77.95,70.62,74.64,1904,EQ,29,65.66,1392
2026-05-06,61.05,89.56,61.05,89.26,62958,EQ,1080,58.29,20791
2026-05-07,91.0,95.9,82.0,84.06,53174,EQ,1069,49.74,21000
2026-05-08,83.0,87.99,77.0,79.48,8352,EQ,267,31.28,5491
2026-05-11,75.9,80.0,74.01,77.63,7899,EQ,279,28.31,2742
2026-05-12,77.63,82.78,75.1,77.9,34034,EQ,231,147.33,32119
2026-05-13,77.9,79.83,74.56,75.78,2515,EQ,97,25.93,1348
2026-05-14,74.0,78.98,74.0,74.67,1858,EQ,93,19.98,950
2026-05-15,74.02,78.0,74.02,77.27,1626,EQ,56,29.04,793
2026-05-18,83.5,83.5,73.45,74.28,722,EQ,43,16.79,689
2026-05-19,73.11,73.11,73.11,73.11,2,EQ,1,2.0,2
2026-05-20,81.99,81.99,72.85,75.21,1063,EQ,85,12.51,601
2026-05-21,75.21,77.55,73.0,74.05,300,EQ,15,20.0,250
2026-05-22,74.05,76.01,72.18,74.99,771,EQ,38,20.29,697
2026-05-25,74.62,77.58,72.55,75.36,1243,EQ,19,65.42,1130
2026-05-26,73.0,75.97,73.0,73.14,2081,EQ,36,57.81,1919
2026-05-27,73.2,75.49,71.15,72.99,1218,EQ,46,26.48,922
2026-05-29,81.0,81.0,71.11,74.0,676,EQ,28,24.14,650
2026-06-01,74.0,74.0,71.1,72.8,187,EQ,15,12.47,124
2026-06-02,81.2,81.2,71.29,72.38,2251,EQ,79,28.49,1231
2026-06-03,74.7,74.7,70.0,71.89,1209,EQ,44,27.48,1194
2026-06-04,73.89,76.2,71.0,75.98,19690,EQ,128,153.83,19257
2026-06-05,73.0,76.01,72.62,76.0,21358,EQ,111,192.41,20368
2026-06-08,76.38,77.98,74.0,75.7,15042,EQ,62,242.61,14755
