Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,346.95,359.9,346.95,357.25,161,EQ,13,12.38,158
2026-04-21,350.0,373.0,350.0,369.7,3102,EQ,67,46.3,2692
2026-04-22,342.45,372.0,342.4,371.7,407,EQ,30,13.57,368
2026-04-23,370.0,380.0,360.0,375.0,460,EQ,35,13.14,421
2026-04-24,366.5,380.0,355.05,365.0,103,EQ,23,4.48,88
2026-04-27,354.6,355.0,350.0,350.0,222,EQ,14,15.86,220
2026-04-28,347.0,359.95,341.1,352.45,407,EQ,21,19.38,404
2026-04-29,352.45,372.3,346.35,346.5,295,EQ,13,22.69,274
2026-04-30,358.95,358.95,330.3,344.5,1435,EQ,49,29.29,459
2026-05-04,337.35,367.85,337.35,362.65,277,EQ,37,7.49,223
2026-05-05,363.0,374.45,355.05,367.5,528,EQ,23,22.96,381
2026-05-06,367.5,372.95,367.5,369.85,185,EQ,7,26.43,184
2026-05-07,379.95,380.55,358.25,361.8,685,EQ,24,28.54,581
2026-05-08,362.05,380.65,361.2,365.9,215,EQ,31,6.94,199
2026-05-11,367.7,371.95,351.1,365.5,321,EQ,24,13.38,233
2026-05-12,365.0,365.0,351.25,357.8,499,EQ,30,16.63,452
2026-05-13,360.0,361.4,355.0,356.0,406,EQ,24,16.92,406
2026-05-14,356.0,370.0,345.15,347.1,150,EQ,15,10.0,104
2026-05-15,347.0,347.7,337.1,339.0,217,EQ,15,14.47,131
2026-05-18,337.35,350.0,335.0,336.0,307,EQ,28,10.96,254
2026-05-19,359.7,359.7,332.25,340.0,384,EQ,24,16.0,307
2026-05-20,359.0,359.95,352.55,355.6,58,EQ,7,8.29,30
2026-05-21,366.0,366.0,359.15,362.0,585,EQ,22,26.59,485
2026-05-22,365.0,370.0,355.0,368.05,542,EQ,34,15.94,480
2026-05-25,373.0,375.0,369.85,373.9,804,EQ,32,25.12,753
2026-05-26,391.1,400.0,365.9,389.0,10118,EQ,352,28.74,8046
