Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-06,196.0,199.02,193.0,198.98,267713,EQ,213,1256.87,56768
2026-04-07,199.02,208.6,191.27,196.88,172395,EQ,473,364.47,7774
2026-04-08,194.8,204.41,193.71,199.77,253693,EQ,439,577.89,10890
2026-04-09,202.76,204.79,181.15,188.74,195903,EQ,1280,153.05,4360
2026-04-10,188.0,205.0,184.0,198.81,360245,EQ,9795,36.78,24363
2026-04-13,201.95,201.95,189.07,192.24,291810,EQ,3946,73.95,13481
2026-04-15,192.24,202.26,192.24,196.8,273248,EQ,795,343.71,17295
2026-04-16,196.25,208.8,192.2,198.09,281119,EQ,1803,155.92,26120
2026-04-17,204.95,204.95,194.5,195.73,269082,EQ,1630,165.08,17651
2026-04-20,195.41,199.7,189.01,191.82,261548,EQ,777,336.61,18616
2026-04-21,181.99,202.02,181.99,190.47,277549,EQ,1113,249.37,18636
2026-04-22,193.02,199.0,190.7,193.2,217213,EQ,760,285.81,17421
2026-04-23,194.33,198.3,191.45,194.04,216218,EQ,714,302.83,18525
2026-04-24,199.0,199.0,189.5,193.15,172225,EQ,1880,91.61,9418
2026-04-27,189.99,197.78,188.3,193.14,283253,EQ,1771,159.94,22128
2026-04-28,192.9,197.01,173.83,181.85,234627,EQ,1431,163.96,24815
2026-04-29,188.8,194.7,171.42,175.18,225710,EQ,1542,146.37,19937
2026-04-30,184.9,192.05,171.25,178.01,275622,EQ,1255,219.62,20211
2026-05-04,178.91,188.98,175.15,177.21,177049,EQ,1094,161.84,8691
2026-05-05,183.5,183.5,165.81,168.63,119874,EQ,805,148.91,10816
2026-05-06,178.0,178.79,169.0,174.45,114933,EQ,500,229.87,7645
2026-05-07,179.99,190.38,175.66,185.21,123652,EQ,698,177.15,11729
2026-05-08,181.81,194.4,175.5,187.34,122626,EQ,1025,119.64,10252
2026-05-11,181.5,206.07,181.5,206.05,352210,EQ,1463,240.75,230506
2026-05-12,213.8,226.65,209.82,225.0,288191,EQ,4147,69.49,59875
2026-05-13,221.26,223.99,213.75,214.12,139656,EQ,1037,134.67,22954
2026-05-14,214.12,223.3,204.2,217.22,133467,EQ,637,209.52,12825
2026-05-15,214.0,226.91,213.1,217.11,122788,EQ,560,219.26,10813
2026-05-18,218.0,222.0,211.3,217.43,123225,EQ,624,197.48,12356
2026-05-19,220.5,220.64,207.3,208.42,120749,EQ,1280,94.34,9152
2026-05-20,209.99,218.84,201.2,211.79,124439,EQ,1082,115.01,10479
2026-05-21,212.4,222.37,212.4,220.22,114104,EQ,552,206.71,8448
2026-05-22,231.23,231.23,221.01,225.62,123960,EQ,934,132.72,13791
2026-05-25,229.0,230.0,217.01,219.01,125737,EQ,1026,122.55,12818
2026-05-26,227.99,227.99,215.0,222.3,122143,EQ,1071,114.05,11904
2026-05-27,229.89,229.89,216.4,216.64,118559,EQ,915,129.57,10726
2026-05-29,216.64,216.64,205.95,214.6,2510,BE,45,55.78,2510
2026-06-01,214.6,217.6,210.0,215.12,2229,BE,35,63.69,2229
2026-06-02,217.0,217.0,210.0,210.26,3764,BE,35,107.54,3764
2026-06-03,213.7,215.0,206.5,213.91,7822,BE,60,130.37,7822
2026-06-04,216.0,216.0,210.0,210.25,22615,BE,67,337.54,22615
2026-06-05,214.0,216.0,209.8,209.94,2480,BE,39,63.59,2480
2026-06-08,210.0,212.5,201.5,204.23,13931,BE,67,207.93,13931
