Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,417.05,435.0,399.0,428.4,62001,EQ,1890,32.8,38894
2026-04-21,433.9,435.9,428.4,434.5,28036,EQ,1212,23.13,18647
2026-04-22,437.6,437.6,423.25,426.55,18025,EQ,2015,8.95,10549
2026-04-23,428.65,428.65,420.0,422.3,11042,EQ,735,15.02,6442
2026-04-24,422.3,427.15,407.0,414.95,22125,EQ,1976,11.2,12105
2026-04-27,419.1,431.4,408.95,427.55,13891,EQ,1155,12.03,6764
2026-04-28,429.2,434.0,422.3,429.95,15547,EQ,529,29.39,11295
2026-04-29,429.95,445.8,423.05,441.35,51913,EQ,1826,28.43,32914
2026-04-30,440.0,441.5,430.0,431.9,13326,EQ,868,15.35,7136
2026-05-04,431.9,436.45,406.55,408.35,72210,EQ,3612,19.99,54252
2026-05-05,406.1,419.8,406.0,415.35,32646,EQ,1834,17.8,17778
2026-05-06,412.0,431.3,412.0,426.5,20876,EQ,1247,16.74,12896
2026-05-07,428.0,441.0,425.75,439.4,40885,EQ,1536,26.62,33478
2026-05-08,439.4,441.55,428.0,439.1,19128,EQ,1126,16.99,12083
2026-05-11,437.5,437.5,408.05,423.75,26701,EQ,1225,21.8,11739
2026-05-12,425.0,439.0,417.1,433.1,66631,EQ,3314,20.11,42646
2026-05-13,425.15,474.4,425.1,456.9,264075,EQ,8643,30.55,81123
2026-05-14,462.95,465.55,443.2,446.0,25966,EQ,1566,16.58,13984
2026-05-15,456.0,456.15,383.55,424.8,80700,EQ,3971,20.32,36265
2026-05-18,445.0,450.0,430.1,442.05,104273,EQ,4856,21.47,29296
2026-05-19,450.0,469.9,449.0,462.35,125861,EQ,4857,25.91,74782
2026-05-20,428.0,446.3,407.0,435.95,176826,EQ,6889,25.67,75566
2026-05-21,433.0,442.85,426.0,432.85,40159,EQ,2713,14.8,18849
2026-05-22,436.0,438.1,420.6,424.6,38853,EQ,1860,20.89,29648
2026-05-25,433.8,465.9,431.6,459.4,109569,EQ,5381,20.36,69324
2026-05-26,460.9,467.0,440.0,440.6,44780,EQ,3607,12.41,21186
2026-05-27,446.5,449.05,439.0,443.95,12710,EQ,1780,7.14,6548
2026-05-29,448.8,455.0,421.5,432.35,39571,EQ,2413,16.4,22253
2026-06-01,432.0,446.7,428.6,435.25,15684,EQ,1283,12.22,8486
2026-06-02,432.75,442.95,432.75,437.0,12855,EQ,934,13.76,7109
2026-06-03,436.7,436.85,427.2,430.35,17037,EQ,1037,16.43,10277
2026-06-04,433.0,435.1,422.0,422.8,27818,EQ,2107,13.2,17164
2026-06-05,424.0,429.0,420.6,422.0,15274,EQ,709,21.54,8934
2026-06-08,419.15,432.3,414.7,418.45,34294,EQ,1265,27.11,20270
