Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-05,nan,nan,nan,18954.26,1914107805.0,29.21,,,,
2026-02-06,nan,nan,nan,18920.17,1648178229.0,29.1,,,,
2026-02-09,nan,nan,nan,19308.61,2129697551.0,29.66,,,,
2026-02-10,nan,nan,nan,19394.31,1666234008.0,29.78,,,,
2026-02-11,nan,nan,nan,19408.41,2069950775.0,29.68,,,,
2026-02-12,nan,nan,nan,19289.08,1640326120.0,29.5,,,,
2026-02-13,nan,nan,nan,18974.12,1556200672.0,28.98,,,,
2026-02-16,nan,nan,nan,19010.68,1390387899.0,29.01,,,,
2026-02-17,nan,nan,nan,19107.39,1447216403.0,29.35,,,,
2026-02-18,nan,nan,nan,19207.92,1415316642.0,29.5,,,,
2026-02-19,nan,nan,nan,18942.87,1351474298.0,29.1,,,,
2026-02-20,nan,nan,nan,18971.71,1277350843.0,29.14,,,,
2026-02-23,nan,nan,nan,18996.44,2042612083.0,29.18,,,,
2026-02-24,nan,nan,nan,18913.66,1882819592.0,29.05,,,,
2026-02-25,nan,nan,nan,19034.75,1581384555.0,29.24,,,,
2026-02-26,nan,nan,nan,19097.86,1915623441.0,29.33,,,,
2026-02-27,nan,nan,nan,18894.93,3006953228.0,29.03,,,,
2026-03-02,nan,nan,nan,18555.78,2067265334.0,28.51,,,,
2026-03-04,nan,nan,nan,18156.0,2293320409.0,27.89,,,,
2026-03-05,nan,nan,nan,18422.76,1924066730.0,28.3,,,,
2026-03-06,nan,nan,nan,18333.86,1635169233.0,28.16,,,,
2026-03-09,nan,nan,nan,17933.8,1732726272.0,27.55,,,,
2026-03-10,nan,nan,nan,18267.76,1687662237.0,28.06,,,,
2026-03-11,nan,nan,nan,18127.54,1721349085.0,27.86,,,,
2026-03-12,nan,nan,nan,18070.47,2164806853.0,27.77,,,,
2026-03-13,nan,nan,nan,17586.07,2307686057.0,27.02,,,,
2026-03-16,nan,nan,nan,17522.57,2314770638.0,26.93,,,,
2026-03-17,nan,nan,nan,17663.73,1805916505.0,27.14,,,,
2026-03-18,nan,nan,nan,17985.21,2271312129.0,27.64,,,,
2026-03-19,nan,nan,nan,17470.71,2523058111.0,26.85,,,,
2026-03-20,nan,nan,nan,17544.81,2689517624.0,26.96,,,,
2026-03-23,nan,nan,nan,16874.31,2267144973.0,25.93,,,,
2026-03-24,nan,nan,nan,17287.55,1955660337.0,26.56,,,,
2026-03-25,nan,nan,nan,17704.96,2106364062.0,27.2,,,,
2026-03-27,nan,nan,nan,17344.59,2519032196.0,26.65,,,,
2026-03-30,nan,nan,nan,16900.67,2466170913.0,28.02,,,,
2026-04-01,nan,nan,nan,17364.03,2414976544.0,28.79,,,,
2026-04-02,nan,nan,nan,17321.84,2569747525.0,28.72,,,,
2026-04-06,nan,nan,nan,17538.79,2368819196.0,29.08,,,,
2026-04-07,nan,nan,nan,17558.93,1836118597.0,29.11,,,,
2026-04-08,nan,nan,nan,18250.72,2849349567.0,30.26,,,,
2026-04-09,nan,nan,nan,18287.02,2917872974.0,30.32,,,,
2026-04-10,nan,nan,nan,18580.06,3069052445.0,30.81,,,,
2026-04-13,nan,nan,nan,18488.25,2496551731.0,30.65,,,,
