Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,1.3,1.5,1.3,1.4,2129393,EQ,754,2824.13,1545826
2026-04-21,1.4,1.5,1.35,1.5,5470673,EQ,3325,1645.32,4454195
2026-04-22,1.65,1.65,1.65,1.65,830233,EQ,269,3086.37,819218
2026-04-23,1.7,1.7,1.7,1.7,582292,EQ,189,3080.91,582292
2026-04-24,1.75,1.75,1.65,1.75,7224770,EQ,2048,3527.72,3799815
2026-04-27,1.8,1.8,1.8,1.8,1043420,EQ,420,2484.33,740599
2026-04-28,1.85,1.85,1.85,1.85,494337,EQ,197,2509.32,494337
2026-04-29,1.9,1.9,1.9,1.9,375560,EQ,188,1997.66,375560
2026-04-30,1.95,1.95,1.95,1.95,1698925,BE,723,2349.83,1698925
2026-05-04,2.04,2.04,2.04,2.04,923311,BE,490,1884.31,923311
2026-05-05,2.14,2.14,2.14,2.14,1101231,BE,285,3863.97,1101231
2026-05-06,2.24,2.24,2.24,2.24,2373041,BE,1338,1773.57,2373041
2026-05-07,2.35,2.35,2.35,2.35,3327718,BE,1663,2001.03,3327718
2026-05-08,2.46,2.46,2.46,2.46,6047793,BE,2290,2640.96,6047793
2026-05-11,2.58,2.58,2.57,2.58,9267539,BE,3094,2995.33,9267539
2026-05-12,2.7,2.7,2.69,2.69,14291372,BE,9798,1458.6,14291372
2026-05-13,2.79,2.82,2.56,2.81,34628011,BE,26698,1297.03,34628011
2026-05-14,2.76,2.76,2.76,2.76,957609,BE,2624,364.94,957609
2026-05-15,2.71,2.71,2.71,2.71,165112,BE,455,362.88,165112
2026-05-18,2.66,2.66,2.66,2.66,127725,BE,332,384.71,127725
2026-05-19,2.61,2.61,2.61,2.61,372042,BE,315,1181.09,372042
2026-05-20,2.56,2.56,2.56,2.56,476573,BE,251,1898.7,476573
2026-05-21,2.51,2.51,2.51,2.51,350182,BE,308,1136.95,350182
2026-05-22,2.46,2.46,2.46,2.46,117841,BE,281,419.36,117841
2026-05-25,2.42,2.42,2.42,2.42,135017,BE,287,470.44,135017
2026-05-26,2.38,2.38,2.38,2.38,73661,BE,282,261.21,73661
