Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,7600.0,7600.0,7402.0,7573.6,364,EQ,181,2.01,305
2026-04-21,7573.99,7600.0,7360.0,7592.47,463,EQ,205,2.26,401
2026-04-22,7592.46,7600.0,7426.0,7520.55,938,EQ,370,2.54,655
2026-04-23,7500.0,7600.0,7500.0,7570.9,518,EQ,91,5.69,472
2026-04-24,7579.97,7579.97,7410.0,7474.27,205,EQ,147,1.39,129
2026-04-27,7597.99,7597.99,7431.05,7497.99,210,EQ,108,1.94,145
2026-04-28,7497.98,7497.98,7430.55,7479.19,430,EQ,303,1.42,306
2026-04-29,7360.0,7489.97,7360.0,7474.16,183,EQ,89,2.06,137
2026-04-30,7473.97,7495.0,7399.42,7460.01,275,EQ,101,2.72,171
2026-05-04,7555.0,7555.0,7266.0,7409.0,296,EQ,155,1.91,223
2026-05-05,7351.0,7614.5,7351.0,7362.0,343,EQ,136,2.52,249
2026-05-06,7425.0,7470.0,7331.0,7356.0,397,EQ,157,2.53,307
2026-05-07,7399.5,7469.0,7390.5,7417.0,316,EQ,158,2.0,247
2026-05-08,7415.0,7500.0,7381.0,7494.5,427,EQ,213,2.0,275
2026-05-11,7500.0,7500.0,7200.0,7345.0,988,EQ,325,3.04,801
2026-05-12,7256.0,7439.5,7256.0,7295.0,524,EQ,216,2.43,299
2026-05-13,7311.5,7341.5,7207.0,7235.5,5315,EQ,242,21.96,5126
2026-05-14,7201.5,7293.0,7130.5,7184.5,349,EQ,166,2.1,274
2026-05-15,7184.5,7246.0,7109.0,7170.0,1926,EQ,298,6.46,1802
2026-05-18,7154.5,7278.5,7124.0,7249.5,399,EQ,186,2.15,272
2026-05-19,7319.0,7389.0,7142.5,7170.5,884,EQ,292,3.03,688
2026-05-20,7156.5,7280.0,7140.0,7206.0,603,EQ,164,3.68,526
2026-05-21,7242.5,7250.0,7111.0,7171.5,894,EQ,291,3.07,723
2026-05-22,7170.0,7225.0,7140.5,7200.5,380,EQ,194,1.96,257
2026-05-25,7307.0,7307.0,7165.5,7192.0,1300,EQ,415,3.13,1177
2026-05-26,7192.5,7244.5,7170.5,7193.0,627,EQ,339,1.85,526
2026-05-27,7198.0,7449.0,7197.5,7339.5,1673,EQ,401,4.17,1304
2026-05-29,7520.0,7679.5,7360.0,7483.0,4378,EQ,1420,3.08,2876
2026-06-01,7490.5,7679.0,7420.0,7493.5,1003,EQ,390,2.57,595
2026-06-02,7493.5,7493.5,7314.0,7458.0,955,EQ,436,2.19,551
2026-06-03,7494.5,7494.5,7335.0,7454.0,497,EQ,280,1.78,302
2026-06-04,7446.5,7649.0,7446.5,7613.5,1852,EQ,507,3.65,1575
2026-06-05,7650.0,7656.0,7545.5,7591.5,1143,EQ,278,4.11,1029
2026-06-08,7540.0,7604.0,7540.0,7585.0,761,EQ,266,2.86,520
2026-06-09,7596.5,7850.0,7596.5,7742.0,3896,EQ,1263,3.08,1939
2026-06-10,7800.0,7856.0,7669.0,7708.5,1376,EQ,602,2.29,954
2026-06-11,7719.0,7719.0,7551.0,7658.5,643,EQ,429,1.5,440
2026-06-12,7663.0,7789.0,7595.0,7684.5,1711,EQ,506,3.38,638
