Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-19,1040.9,1041.4,1002.0,1010.8,23221,EQ,1455,15.96,12934
2026-02-20,1019.9,1061.7,1000.1,1009.1,31326,EQ,2224,14.09,16356
2026-02-23,1043.6,1047.2,981.0,988.5,24684,EQ,1927,12.81,16834
2026-02-24,985.1,993.3,949.2,953.5,41822,EQ,2842,14.72,25547
2026-02-25,977.9,998.9,964.0,972.5,25508,EQ,2608,9.78,14821
2026-02-26,981.0,1010.7,973.1,987.8,26997,EQ,1716,15.73,16229
2026-02-27,1007.0,1007.0,965.3,972.1,12065,EQ,1025,11.77,7990
2026-03-02,912.0,962.15,912.0,934.55,58023,EQ,2699,21.5,34871
2026-03-04,922.4,922.4,880.0,897.95,63298,EQ,3134,20.2,33778
2026-03-05,910.1,925.15,897.05,909.25,29830,EQ,1467,20.33,19313
2026-03-06,910.0,921.95,896.4,903.75,178843,EQ,2079,86.02,167349
2026-03-09,880.0,899.95,855.0,859.85,40407,EQ,3026,13.35,19752
2026-03-10,867.0,887.65,855.1,871.35,30995,EQ,2176,14.24,14575
2026-03-11,931.95,1045.6,911.0,972.6,514164,EQ,18674,27.53,79359
2026-03-12,980.0,1067.85,949.9,1009.25,138601,EQ,9108,15.22,46746
2026-03-13,1009.25,1017.85,948.75,967.65,62847,EQ,4189,15.0,33382
2026-03-16,955.0,1016.5,925.0,938.45,67533,EQ,4224,15.99,31020
2026-03-17,959.6,974.85,921.0,931.0,60496,EQ,3575,16.92,29447
2026-03-18,940.0,986.55,940.0,956.4,51770,EQ,2836,18.25,25789
2026-03-19,942.6,980.0,913.25,925.1,46095,EQ,3246,14.2,19588
2026-03-20,944.0,970.45,930.05,938.7,30268,EQ,1877,16.13,14317
2026-03-23,937.95,937.95,867.0,888.35,102701,EQ,5619,18.28,55328
2026-03-24,925.0,967.8,890.4,899.8,110716,EQ,4219,26.24,57650
2026-03-25,910.05,1057.0,910.05,1025.55,619549,EQ,20592,30.09,216688
2026-03-27,1010.05,1050.0,970.0,981.7,285009,EQ,14270,19.97,120429
2026-03-30,967.5,999.6,882.4,892.25,339918,EQ,10874,31.26,227605
2026-04-01,950.0,1003.9,950.0,982.9,142107,EQ,8645,16.44,31545
2026-04-02,964.9,989.0,936.0,983.3,72391,EQ,4885,14.82,29200
2026-04-06,975.0,1007.3,971.25,991.55,56310,EQ,3953,14.24,23226
2026-04-07,995.0,1038.7,986.5,1015.8,84931,EQ,5102,16.65,39790
2026-04-08,1068.8,1111.0,1033.2,1074.2,134046,EQ,8230,16.29,63197
2026-04-09,1098.5,1098.5,1041.3,1054.45,57457,EQ,4743,12.11,27075
2026-04-10,1083.7,1111.0,1051.6,1101.25,116978,EQ,6012,19.46,44701
