Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,58.45,58.85,56.9,57.0,1250,EQ,54,23.15,992
2026-04-21,57.0,59.0,56.75,58.15,3356,EQ,71,47.27,3123
2026-04-22,57.75,59.15,55.05,57.7,3238,EQ,140,23.13,2800
2026-04-23,57.65,57.7,56.5,56.95,9576,EQ,189,50.67,8131
2026-04-24,56.15,58.0,55.5,57.95,4450,EQ,174,25.57,3019
2026-04-27,57.95,59.7,56.6,57.5,8531,EQ,152,56.12,6626
2026-04-28,57.5,58.5,57.1,58.05,1980,EQ,57,34.74,1870
2026-04-29,57.75,59.2,56.85,57.1,9367,EQ,188,49.82,8241
2026-04-30,56.75,59.0,56.2,57.9,2251,EQ,99,22.74,1648
2026-05-04,57.9,58.94,56.3,57.0,8305,EQ,180,46.14,6714
2026-05-05,57.0,57.97,55.03,56.69,9978,EQ,302,33.04,7972
2026-05-06,56.74,57.89,56.06,57.52,6858,EQ,200,34.29,4673
2026-05-07,57.21,60.0,57.05,58.67,33851,EQ,415,81.57,27873
2026-05-08,59.0,59.35,57.51,58.46,4085,EQ,207,19.73,3583
2026-05-11,59.95,62.45,57.11,60.71,99793,EQ,856,116.58,52447
2026-05-12,61.99,61.99,57.2,57.62,18187,EQ,495,36.74,12348
2026-05-13,60.87,61.01,58.0,59.27,24668,EQ,282,87.48,14890
2026-05-14,59.5,61.4,58.31,60.47,27397,EQ,212,129.23,15895
2026-05-15,61.47,61.47,59.03,60.63,7880,EQ,170,46.35,5336
2026-05-18,59.07,60.35,57.55,57.84,13224,EQ,205,64.51,9886
2026-05-19,58.86,60.85,57.4,59.18,10061,EQ,160,62.88,5994
2026-05-20,58.5,62.49,58.2,59.79,15652,EQ,239,65.49,9910
2026-05-21,61.11,61.86,59.13,60.03,18111,EQ,205,88.35,12058
2026-05-22,60.03,61.0,58.72,59.55,9034,EQ,102,88.57,7844
2026-05-25,60.7,61.49,59.0,59.82,6190,EQ,136,45.51,3205
2026-05-26,59.4,60.91,58.9,59.35,3517,EQ,75,46.89,2622
