Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-11,1535.0,1613.5,1420.0,1451.1,3815477,EQ,104611,36.47,1678971
2026-03-12,1419.0,1522.0,1413.1,1441.3,436967,EQ,29533,14.8,121964
2026-03-13,1457.0,1482.0,1442.0,1465.5,172922,EQ,14579,11.86,60337
2026-03-16,1490.0,1495.0,1427.9,1471.0,125990,EQ,18199,6.92,36442
2026-03-17,1471.0,1523.8,1461.0,1503.6,137311,EQ,15826,8.68,37574
2026-03-18,1515.0,1582.1,1512.0,1533.1,188446,EQ,18535,10.17,75066
2026-03-19,1517.9,1520.0,1491.0,1505.7,76805,EQ,9370,8.2,38087
2026-03-20,1515.0,1533.7,1487.5,1501.2,96223,EQ,11222,8.57,46834
2026-03-23,1495.0,1500.4,1440.2,1469.5,66036,EQ,10698,6.17,30373
2026-03-24,1498.7,1519.0,1464.0,1503.8,57646,EQ,8050,7.16,20948
2026-03-25,1509.9,1554.7,1504.9,1539.2,75927,EQ,10370,7.32,37378
2026-03-27,1544.7,1544.7,1503.0,1524.0,40457,EQ,5428,7.45,14676
2026-03-30,1503.2,1521.3,1480.0,1513.4,44732,EQ,7352,6.08,27170
2026-04-01,1540.0,1568.5,1532.0,1545.2,196146,EQ,17666,11.1,139633
2026-04-02,1545.0,1557.0,1517.0,1530.0,74923,EQ,6937,10.8,53462
2026-04-06,1570.0,1708.6,1556.2,1680.2,511124,EQ,55881,9.15,155058
2026-04-07,1680.2,1817.9,1673.0,1705.2,402236,EQ,33899,11.87,164973
2026-04-08,1748.0,1775.7,1625.3,1634.1,254794,EQ,25327,10.06,135862
2026-04-09,1659.3,1659.8,1627.2,1637.7,66742,EQ,8627,7.74,28934
2026-04-10,1645.0,1690.0,1633.4,1647.6,74630,EQ,8628,8.65,44899
2026-04-13,1630.0,1708.5,1622.4,1658.4,174144,EQ,20170,8.63,103679
2026-04-15,1688.5,1739.9,1648.0,1705.8,289875,EQ,28706,10.1,190040
2026-04-16,1740.0,1777.8,1665.0,1672.4,213316,EQ,19334,11.03,91391
2026-04-17,1684.8,1697.3,1630.5,1654.4,276484,EQ,24216,11.42,178252
2026-04-20,1669.9,1695.0,1626.5,1635.5,233794,EQ,16594,14.09,161081
2026-04-21,1635.0,1655.0,1611.0,1639.3,82599,EQ,8282,9.97,42574
2026-04-22,1649.8,1708.0,1632.0,1696.8,130010,EQ,13802,9.42,67285
2026-04-23,1705.0,1705.0,1657.0,1667.9,56101,EQ,7351,7.63,30539
2026-04-24,1679.8,1740.0,1645.8,1717.7,179534,EQ,13915,12.9,107974
2026-04-27,1780.0,2037.0,1773.4,1891.5,1050826,EQ,85442,12.3,252196
2026-04-28,1915.0,1936.9,1866.2,1895.5,282262,EQ,25225,11.19,141808
2026-04-29,1900.0,1914.9,1810.0,1819.0,118373,EQ,12634,9.37,60049
2026-04-30,1837.9,1871.0,1800.0,1841.0,103144,EQ,10321,9.99,41562
2026-05-04,1875.0,1988.6,1844.0,1936.1,260357,EQ,24420,10.66,124393
2026-05-05,1949.9,2089.9,1918.8,1950.1,432607,EQ,40024,10.81,149268
2026-05-06,1978.0,1986.0,1839.2,1890.6,457748,EQ,33886,13.51,269685
2026-05-07,1914.9,1980.6,1863.0,1935.2,279650,EQ,34120,8.2,180335
2026-05-08,1968.0,2046.0,1950.0,2026.1,248801,EQ,45203,5.5,126576
2026-05-11,2039.5,2059.3,1985.0,1999.3,106307,EQ,12726,8.35,47459
2026-05-12,2006.0,2075.0,1956.0,1974.4,206970,EQ,16589,12.48,81254
2026-05-13,1974.4,2132.0,1974.4,2012.6,277550,EQ,22843,12.15,124652
2026-05-14,2035.0,2077.1,1990.0,2002.9,135797,EQ,16770,8.1,66153
2026-05-15,2000.2,2039.0,1933.6,1982.0,110297,EQ,17936,6.15,45841
2026-05-18,2000.0,2031.8,1930.5,1972.8,81797,EQ,15379,5.32,30752
2026-05-19,2087.4,2098.0,1955.2,2039.6,669497,EQ,54964,12.18,341757
2026-05-20,2029.9,2100.0,1977.3,2079.4,174789,EQ,15249,11.46,61591
2026-05-21,2060.0,2175.0,1971.8,1992.1,267755,EQ,23983,11.16,122133
2026-05-22,2018.0,2022.0,1958.5,1983.3,115004,EQ,11931,9.64,53555
2026-05-25,2011.0,2075.0,1972.3,2064.4,123859,EQ,10697,11.58,60320
2026-05-26,2095.0,2157.0,2005.0,2117.3,427776,EQ,15143,28.25,286026
2026-05-27,2133.0,2173.0,2101.4,2157.4,107394,EQ,14808,7.25,43069
2026-05-29,2179.3,2200.0,2124.9,2144.9,93728,EQ,11027,8.5,40699
2026-06-01,2164.8,2225.0,2141.0,2201.4,100895,EQ,11080,9.11,38335
2026-06-02,2218.0,2352.0,2185.5,2326.0,154463,EQ,12563,12.3,58560
2026-06-03,2345.0,2407.0,2280.1,2386.5,116273,EQ,13455,8.64,47723
2026-06-04,2386.9,2492.1,2371.0,2416.4,145967,EQ,18878,7.73,51559
2026-06-05,2443.8,2443.8,2345.0,2373.4,101232,EQ,13673,7.4,39560
2026-06-08,2363.0,2400.0,2318.0,2366.7,142297,EQ,22385,6.36,54307
2026-06-09,2404.0,2659.9,2400.0,2624.9,534904,EQ,50072,10.68,127630
2026-06-10,2622.0,2677.9,2530.0,2544.7,269583,EQ,26951,10.0,102522
2026-06-11,2544.7,2664.9,2525.5,2642.5,176494,EQ,18280,9.66,54975
2026-06-12,2674.0,2937.1,2641.9,2770.7,572312,EQ,60172,9.51,190826
2026-06-15,2814.0,2839.0,2696.1,2734.9,142013,EQ,17910,7.93,53316
2026-06-16,2764.9,2793.2,2715.0,2778.2,129108,EQ,14205,9.09,52147
2026-06-17,2796.0,2796.0,2680.0,2698.0,225813,EQ,15586,14.49,148463
2026-06-18,2714.2,2824.9,2714.2,2730.8,109531,EQ,14199,7.71,39417
2026-06-19,2730.5,2767.4,2681.0,2696.1,71660,EQ,11628,6.16,33021
2026-06-22,2732.9,2948.4,2688.0,2857.2,300917,EQ,29845,10.08,102460
2026-06-23,2868.6,2914.0,2816.1,2849.8,132082,EQ,17359,7.61,55136
2026-06-24,2865.0,2977.7,2855.0,2865.4,389641,EQ,33934,11.48,184750
2026-06-25,2894.5,2922.0,2565.4,2666.2,586970,EQ,50096,11.72,247869
2026-06-29,2679.8,2745.5,2654.4,2716.8,104527,EQ,12551,8.33,42489
2026-06-30,2732.0,2914.9,2725.0,2895.1,208723,EQ,18552,11.25,99600
2026-07-01,2916.0,2934.0,2834.0,2859.0,105698,EQ,13238,7.98,45130
2026-07-02,2869.0,2893.0,2804.4,2825.6,97841,EQ,9030,10.84,56299
2026-07-03,2925.0,2925.0,2810.1,2865.2,151434,EQ,16619,9.11,50281
2026-07-06,2873.5,2929.0,2775.0,2789.8,91683,EQ,11489,7.98,42150
2026-07-07,2797.9,2797.9,2715.0,2737.0,52744,EQ,8034,6.57,21219
2026-07-08,2703.1,2797.0,2666.3,2705.6,72756,EQ,10917,6.66,27282
2026-07-09,2733.0,2828.4,2732.9,2803.6,93094,EQ,13390,6.95,42056
