Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,34.75,34.8,28.6,28.9,3796,EQ,29,130.9,3416
2026-04-21,29.0,31.75,28.9,29.75,2768,EQ,42,65.9,2714
2026-04-22,30.25,30.7,28.05,28.2,1156,EQ,19,60.84,1102
2026-04-23,28.3,31.0,28.3,30.8,538,EQ,21,25.62,415
2026-04-24,30.0,30.8,27.8,30.0,1258,EQ,35,35.94,1187
2026-04-27,32.5,32.5,27.6,30.0,408,EQ,32,12.75,400
2026-04-28,32.45,32.45,27.3,28.35,4440,EQ,56,79.29,4237
2026-04-29,31.0,31.0,28.35,30.75,1310,EQ,48,27.29,1054
2026-04-30,31.5,31.5,30.5,30.5,81,EQ,6,13.5,80
2026-05-04,31.5,33.54,27.45,32.31,1406,EQ,55,25.56,1173
2026-05-05,32.0,32.15,29.08,31.13,2062,EQ,35,58.91,2057
2026-05-06,31.13,31.13,31.13,31.13,1,EQ,1,1.0,1
2026-05-07,31.13,32.0,28.03,31.63,1097,EQ,49,22.39,993
2026-05-08,30.95,31.34,28.8,29.15,9037,EQ,76,118.91,3695
2026-05-11,32.06,32.06,28.12,29.03,7348,EQ,175,41.99,4744
2026-05-12,28.32,30.89,28.01,29.0,5658,EQ,102,55.47,4240
2026-05-13,29.8,29.8,28.0,28.25,438,EQ,33,13.27,395
2026-05-14,28.5,28.95,26.8,27.08,5045,EQ,117,43.12,2655
2026-05-15,27.5,27.96,25.37,25.97,5298,EQ,128,41.39,3189
2026-05-18,27.05,27.41,24.41,25.83,1256,EQ,99,12.69,693
2026-05-19,25.95,28.41,25.95,26.17,6347,EQ,68,93.34,3839
2026-05-20,26.18,28.78,26.17,26.71,1506,EQ,47,32.04,794
2026-05-21,29.38,29.38,26.9,27.28,2456,EQ,46,53.39,1855
2026-05-22,27.26,28.5,26.56,26.71,4958,EQ,37,134.0,3929
2026-05-25,27.5,27.5,25.11,25.91,11012,EQ,127,86.71,4486
2026-05-26,26.0,27.16,25.21,25.39,3946,EQ,40,98.65,3301
2026-05-27,25.0,26.89,25.0,25.8,4227,EQ,27,156.56,2039
2026-05-29,25.8,26.66,25.0,25.02,1132,EQ,80,14.15,972
2026-06-01,26.99,26.99,25.5,25.5,148,EQ,8,18.5,148
2026-06-02,25.5,25.96,24.0,25.22,5701,EQ,68,83.84,2867
2026-06-03,24.0,25.32,24.0,24.64,910,EQ,73,12.47,772
2026-06-04,25.13,25.13,24.8,24.8,158,EQ,6,26.33,157
2026-06-05,25.2,26.38,24.12,26.05,6403,EQ,99,64.68,2924
2026-06-08,26.05,28.5,24.7,27.08,728,EQ,31,23.48,582
2026-06-09,26.9,32.49,25.62,31.61,400319,EQ,1329,301.22,35081
2026-06-10,33.99,37.93,32.51,37.93,1569589,EQ,5417,289.75,318740
2026-06-11,37.69,37.69,34.14,34.7,494112,EQ,1751,282.19,138280
2026-06-12,34.0,36.0,31.5,32.93,80772,EQ,759,106.42,32489
