Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,100.0,106.0,86.0,102.5,33099,EQ,350,94.57,29952
2026-04-21,104.55,104.8,102.0,102.6,22452,EQ,366,61.34,19578
2026-04-22,104.0,107.0,102.0,105.35,42396,EQ,1069,39.66,28596
2026-04-23,105.0,108.5,102.07,107.51,156963,EQ,2662,58.96,118222
2026-04-24,109.67,110.9,105.6,108.63,127127,EQ,1990,63.88,84401
2026-04-27,108.63,117.1,107.41,114.14,114295,EQ,2276,50.22,72126
2026-04-28,114.6,117.0,111.0,112.47,91504,EQ,1636,55.93,54357
2026-04-29,106.0,111.58,105.22,109.86,266115,EQ,2886,92.21,172955
2026-04-30,108.21,109.22,106.26,108.19,85848,EQ,1109,77.41,53055
2026-05-04,118.0,124.88,117.18,120.21,595237,EQ,6941,85.76,291276
2026-05-05,118.41,123.77,118.41,122.09,142292,EQ,2142,66.43,109728
2026-05-06,119.11,125.56,119.11,123.56,280864,EQ,4088,68.7,238502
2026-05-07,125.0,129.71,124.0,128.0,555703,EQ,7153,77.69,487408
2026-05-08,127.1,151.0,126.11,143.96,1533256,EQ,16012,95.76,897632
2026-05-11,160.08,170.7,160.08,165.3,2362879,EQ,18795,125.72,1168449
2026-05-12,166.89,167.13,163.0,165.99,242525,EQ,2814,86.19,166663
2026-05-13,165.99,168.01,163.0,166.21,140443,EQ,1155,121.6,112337
2026-05-14,167.0,167.9,164.0,164.16,125287,EQ,1038,120.7,85036
2026-05-15,164.05,165.6,162.0,164.83,127585,EQ,1179,108.21,90720
2026-05-18,165.0,165.0,162.8,164.59,92500,EQ,1015,91.13,80775
2026-05-19,163.15,165.0,163.15,164.66,126687,EQ,532,238.13,116519
2026-05-20,164.9,165.4,163.69,164.93,97532,EQ,583,167.29,80756
2026-05-21,164.05,166.0,164.05,165.51,45917,EQ,433,106.04,36160
2026-05-22,165.02,174.3,164.7,172.3,137813,EQ,1495,92.18,85987
2026-05-25,176.99,177.5,162.5,166.65,138009,EQ,1354,101.93,93144
2026-05-26,164.5,167.6,164.01,166.0,39277,EQ,344,114.18,30721
