Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,439.0,439.0,420.0,420.0,56,EQ,8,7.0,54
2026-04-21,420.0,420.0,398.95,401.6,61,EQ,9,6.78,59
2026-04-23,415.0,439.0,390.05,416.1,111,EQ,38,2.92,78
2026-04-27,341.9,465.0,340.5,365.5,405,EQ,21,19.29,363
2026-04-28,429.9,438.0,400.0,423.1,2970,EQ,222,13.38,825
2026-04-29,432.0,450.0,400.05,421.0,708,EQ,67,10.57,507
2026-04-30,422.05,422.05,390.2,399.85,717,EQ,63,11.38,553
2026-05-04,399.85,410.05,392.3,394.55,48,EQ,12,4.0,34
2026-05-05,415.0,419.4,396.3,400.75,29,EQ,8,3.62,28
2026-05-06,396.8,396.8,389.9,389.95,685,EQ,34,20.15,526
2026-05-07,389.9,396.9,382.3,393.45,104,EQ,6,17.33,102
2026-05-11,381.2,381.8,350.0,365.0,2257,EQ,48,47.02,1685
2026-05-12,365.0,365.0,365.0,365.0,17,EQ,2,8.5,17
2026-05-13,360.3,360.3,360.3,360.3,1,EQ,1,1.0,1
2026-05-15,361.0,361.0,360.3,360.3,31,EQ,3,10.33,31
2026-05-18,360.3,360.3,360.3,360.3,1,EQ,1,1.0,1
2026-05-19,363.0,363.0,350.0,355.0,59,EQ,9,6.56,58
2026-05-20,350.3,364.8,350.3,364.8,150,EQ,8,18.75,143
2026-05-21,364.7,368.9,364.7,367.9,82,EQ,5,16.4,82
2026-05-22,374.0,374.0,354.0,354.0,29,EQ,5,5.8,18
2026-05-25,358.2,379.9,350.15,357.8,215,EQ,21,10.24,159
2026-05-26,370.3,396.5,354.2,371.5,2043,EQ,93,21.97,751
2026-05-27,352.0,367.65,352.0,359.3,189,EQ,11,17.18,136
2026-05-29,379.9,379.9,353.3,354.05,195,EQ,32,6.09,152
2026-06-01,341.0,341.0,310.4,340.05,80,EQ,10,8.0,63
2026-06-02,340.05,340.05,330.4,340.0,832,EQ,11,75.64,832
2026-06-04,345.3,345.3,345.3,345.3,1,EQ,1,1.0,1
2026-06-05,365.0,365.0,342.6,344.95,197,EQ,11,17.91,185
2026-06-08,344.5,345.0,337.05,337.05,347,EQ,12,28.92,338
2026-06-09,338.3,338.3,337.0,337.0,188,EQ,5,37.6,188
2026-06-11,341.0,341.0,340.0,340.0,10,EQ,2,5.0,10
2026-06-12,340.0,340.0,340.0,340.0,112,EQ,4,28.0,112
2026-06-16,340.0,340.0,337.0,337.0,224,EQ,11,20.36,224
2026-06-18,340.3,342.2,335.3,336.2,24,EQ,7,3.43,24
2026-06-19,335.8,335.8,335.8,335.8,48,EQ,1,48.0,48
2026-06-22,336.0,350.0,333.3,340.0,3261,EQ,63,51.76,3058
2026-06-23,340.0,340.0,340.0,340.0,92,EQ,1,92.0,92
2026-06-25,341.2,341.2,340.0,340.05,100,EQ,4,25.0,100
2026-06-29,335.3,335.3,335.3,335.3,1,EQ,1,1.0,1
2026-06-30,335.0,335.05,335.0,335.05,25,EQ,3,8.33,25
2026-07-01,346.8,349.7,346.8,348.25,22,EQ,10,2.2,19
2026-07-02,348.2,390.0,348.2,374.6,198,EQ,15,13.2,195
2026-07-06,360.0,360.0,360.0,360.0,156,EQ,8,19.5,155
2026-07-07,360.0,360.0,360.0,360.0,9,EQ,2,4.5,9
2026-07-08,350.0,396.95,317.0,372.5,129,EQ,15,8.6,123
2026-07-09,374.5,376.25,369.0,370.0,264,EQ,9,29.33,253
2026-07-10,370.0,370.0,325.0,325.05,77,EQ,10,7.7,77
2026-07-13,325.05,355.0,325.05,340.0,263,EQ,20,13.15,258
2026-07-14,350.0,375.0,350.0,374.95,186,EQ,36,5.17,84
2026-07-15,378.7,449.9,358.1,449.65,10365,EQ,241,43.01,7734
2026-07-16,508.7,539.55,461.85,539.55,36335,EQ,1182,30.74,14662
2026-07-17,550.0,589.0,519.55,527.25,50271,EQ,2701,18.61,8918
2026-07-20,515.1,535.0,493.0,527.0,4491,EQ,299,15.02,2652
2026-07-21,525.0,534.45,519.55,519.55,879,EQ,56,15.7,569
2026-07-22,519.55,545.5,495.05,496.0,3194,BE,50,63.88,3194
2026-07-23,473.0,488.0,472.2,472.35,460,BE,14,32.86,460
2026-07-24,472.3,473.0,458.0,461.1,243,BE,8,30.38,243
2026-07-27,484.15,484.15,465.0,466.95,170,BE,6,28.33,170
2026-07-28,458.0,458.0,444.0,444.0,326,BE,16,20.38,326
2026-07-29,440.0,440.0,422.0,422.0,69,BE,7,9.86,69
