Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,37.0,38.4,35.5,36.25,14094,EQ,241,58.48,12373
2026-04-21,33.05,37.45,33.05,36.35,15343,EQ,224,68.5,12485
2026-04-22,36.5,37.3,35.15,35.65,402006,EQ,526,764.27,394862
2026-04-23,35.6,35.8,34.6,35.1,498381,EQ,656,759.73,342720
2026-04-24,35.1,36.0,34.55,35.35,236687,EQ,598,395.8,208983
2026-04-27,36.25,36.25,35.0,35.95,479467,EQ,555,863.9,281407
2026-04-28,36.45,36.45,35.0,35.35,559117,EQ,803,696.29,359328
2026-04-29,35.95,38.3,33.0,34.8,617700,EQ,2740,225.44,407639
2026-04-30,35.0,35.75,33.55,34.0,203898,EQ,1432,142.39,50952
2026-05-04,35.85,35.85,32.65,33.55,368330,EQ,1281,287.53,149070
2026-05-05,33.79,34.38,33.56,34.05,169630,EQ,500,339.26,26795
2026-05-06,34.35,34.35,33.56,34.01,227304,EQ,1835,123.87,22788
2026-05-07,35.0,35.45,33.55,34.44,362717,EQ,1372,264.37,101593
2026-05-08,34.44,35.3,33.97,34.72,364928,EQ,986,370.11,223778
2026-05-11,34.75,37.8,33.37,36.07,892029,EQ,2281,391.07,554224
2026-05-12,36.43,36.44,33.5,34.07,549786,EQ,1510,364.1,289922
2026-05-13,33.16,34.75,33.16,33.95,193738,EQ,621,311.98,36682
2026-05-14,33.55,34.96,33.01,33.77,219651,EQ,688,319.26,67661
2026-05-15,34.02,34.95,33.51,33.9,242659,EQ,760,319.29,83765
2026-05-18,33.55,34.15,33.02,33.42,125512,EQ,796,157.68,13666
2026-05-19,33.05,34.29,32.5,32.98,167728,EQ,826,203.06,40302
2026-05-20,33.0,33.47,32.64,33.08,332531,EQ,1161,286.42,183817
2026-05-21,33.0,33.8,32.82,32.94,148209,EQ,351,422.25,25122
2026-05-22,33.18,33.88,32.55,32.66,731858,EQ,688,1063.75,513248
2026-05-25,33.15,33.74,32.6,32.8,620564,EQ,1183,524.57,438844
2026-05-26,32.79,33.0,32.22,32.4,707547,EQ,1459,484.95,481018
2026-05-27,32.3,33.0,32.06,32.33,663312,EQ,939,706.4,529745
2026-05-29,32.98,35.94,32.34,34.4,876623,EQ,1863,470.54,708754
2026-06-01,35.99,37.77,34.8,36.16,2876931,EQ,4082,704.78,2478696
2026-06-02,36.0,37.24,35.4,35.64,1593532,EQ,1921,829.53,1388059
2026-06-03,36.17,37.49,35.0,35.25,584252,EQ,2003,291.69,458178
2026-06-04,35.0,35.85,35.0,35.47,2833628,EQ,1093,2592.52,2768522
2026-06-05,35.47,36.64,35.0,35.08,822383,EQ,936,878.61,780062
2026-06-08,35.94,35.94,34.01,34.69,1529210,EQ,1190,1285.05,1393149
2026-06-09,35.21,35.43,34.3,34.75,625939,EQ,932,671.61,512172
2026-06-10,35.48,35.48,34.22,34.64,74150,EQ,321,231.0,7177
2026-06-11,34.72,35.0,33.52,34.08,162283,EQ,642,252.78,43464
2026-06-12,34.59,34.89,34.02,34.32,731538,EQ,601,1217.2,560918
2026-06-15,34.96,36.0,34.06,35.51,876330,EQ,1230,712.46,641593
2026-06-16,35.78,36.01,34.5,35.87,787986,EQ,943,835.62,687846
2026-06-17,35.87,36.46,35.01,35.74,404218,EQ,1624,248.9,183992
2026-06-18,36.0,41.0,36.0,38.06,6614654,EQ,21484,307.89,1532046
2026-06-19,37.6,39.2,37.5,39.03,426775,EQ,1437,296.99,231982
2026-06-22,39.42,40.8,39.0,39.87,684693,EQ,3325,205.92,391111
2026-06-23,39.7,40.0,39.27,39.77,229878,EQ,818,281.02,121157
2026-06-24,39.17,40.13,39.17,39.48,172234,EQ,547,314.87,40449
2026-06-25,39.48,45.1,39.48,41.74,10230661,EQ,35653,286.95,948764
