Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-19,272.37,272.37,272.3,272.37,18203,BE,58.0,313.84,18203.0
2026-01-20,275.0,285.98,272.0,282.31,11897,BE,165.0,72.1,11897.0
2026-01-21,287.96,287.96,269.01,277.15,1694,BE,169.0,10.02,1694.0
2026-01-22,281.0,291.0,281.0,284.25,10246,BE,108.0,94.87,10246.0
2026-01-23,284.2,285.0,280.0,280.0,279,BE,17.0,16.41,279.0
2026-01-27,267.1,286.0,267.1,267.22,504,BE,29.0,17.38,504.0
2026-01-28,268.02,280.58,268.02,280.0,181,BE,11.0,16.45,181.0
2026-01-29,294.0,294.0,270.0,273.02,907,BE,31.0,29.26,907.0
2026-01-30,273.02,278.95,261.5,269.74,1029,BE,32.0,32.16,1029.0
2026-02-01,271.8,271.8,263.7,265.55,425,BE,13.0,32.69,425.0
2026-02-02,263.7,278.7,263.7,274.9,472,BE,18.0,26.22,472.0
2026-02-03,274.0,282.85,274.0,274.0,158,BE,5.0,31.6,158.0
2026-02-04,274.0,275.35,274.0,274.95,125,BE,8,15.62,125
2026-02-05,272.2,288.0,272.2,282.1,2033,BE,43,47.28,2033
2026-02-06,282.1,282.1,269.1,272.3,668,BE,31,21.55,668
2026-02-09,272.3,274.0,266.3,272.2,215,BE,21,10.24,215
2026-02-10,271.95,271.95,265.5,266.05,870,BE,26,33.46,870
2026-02-11,279.0,279.0,260.05,263.0,532,BE,18,29.56,532
2026-02-12,263.0,271.0,263.0,269.45,257,BE,10,25.7,257
2026-02-13,257.45,279.0,257.45,259.7,255,BE,14,18.21,255
2026-02-16,264.95,268.0,250.95,259.9,647,BE,13,49.77,647
2026-02-17,258.9,258.9,250.5,255.9,574,BE,20,28.7,574
2026-02-18,255.9,255.9,251.25,251.35,151,BE,13,11.62,151
2026-02-19,259.5,259.5,252.5,258.1,481,BE,21,22.9,481
2026-02-20,257.9,257.9,257.9,257.9,21,BE,2,10.5,21
2026-02-23,259.0,260.0,250.5,251.0,115,BE,13,8.85,115
2026-02-24,250.0,262.75,245.0,251.35,299,EQ,33,9.06,293
2026-02-25,252.0,252.0,238.8,248.1,3985,EQ,136,29.3,3554
2026-02-26,255.0,255.0,235.7,255.0,2289,EQ,54,42.39,2159
2026-02-27,255.0,255.0,245.0,250.25,1047,EQ,38,27.55,1030
2026-03-02,237.75,258.95,237.75,245.0,9,EQ,8,1.12,8
2026-03-04,243.8,257.1,241.5,242.05,762,EQ,16,47.62,747
2026-03-05,245.9,254.15,245.9,254.15,30607,EQ,79,387.43,10543
2026-03-06,266.85,266.85,254.2,265.7,16911,EQ,100,169.11,1610
2026-03-09,267.0,278.95,253.6,265.2,12860,EQ,167,77.01,2506
2026-03-10,253.1,260.0,253.0,256.35,713,EQ,20,35.65,710
2026-03-11,256.35,269.15,253.0,263.15,1918,EQ,71,27.01,1737
2026-03-12,263.15,263.95,254.0,255.0,29774,EQ,193,154.27,19135
2026-03-13,250.0,259.0,247.1,254.0,608,EQ,10,60.8,608
2026-03-16,247.5,259.15,247.5,255.5,10859,EQ,63,172.37,697
2026-03-17,259.7,260.0,250.0,252.5,7193,EQ,133,54.08,299
2026-03-18,252.5,258.45,252.5,253.0,164,EQ,15,10.93,160
2026-03-19,253.0,255.0,246.0,255.0,121,EQ,8,15.12,120
2026-03-20,245.0,255.0,245.0,255.0,279,EQ,6,46.5,279
2026-03-23,253.75,253.75,243.0,243.7,720,EQ,37,19.46,717
2026-03-24,250.0,252.0,245.5,245.5,209,EQ,17,12.29,205
2026-03-25,252.0,257.0,246.1,252.0,301,EQ,14,21.5,301
2026-03-27,245.0,255.0,245.0,252.5,1157,EQ,35,33.06,850
2026-03-30,242.1,246.85,239.9,245.1,48,EQ,5,9.6,45
2026-04-01,245.1,257.35,242.1,242.86,211,EQ,24,8.79,210
2026-04-02,248.0,255.0,248.0,253.0,101,EQ,16,6.31,100
2026-04-06,253.0,255.0,246.01,246.01,41,EQ,9,4.56,40
2026-04-07,246.01,255.0,242.0,243.5,234,EQ,25,9.36,189
2026-04-08,267.85,267.85,245.0,245.0,1688,EQ,76,22.21,1438
2026-04-09,240.0,255.01,240.0,248.5,26,EQ,11,2.36,16
2026-04-10,248.51,250.01,235.0,247.19,269,EQ,13,20.69,267
