Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-10,268.0,268.96,241.2,241.2,39084092,EQ,358104,109.14,17597835
2026-06-11,241.5,251.0,240.33,243.89,11214436,EQ,136808,81.97,2644190
2026-06-12,248.81,253.88,242.39,252.04,5069342,EQ,48680,104.14,2092336
2026-06-15,257.0,260.69,241.0,246.04,6523476,EQ,51272,127.23,1872990
2026-06-16,244.85,246.36,231.3,233.8,3490745,EQ,39284,88.86,1211761
2026-06-17,235.99,240.76,231.38,236.71,2491996,EQ,23203,107.4,625539
2026-06-18,238.39,249.19,234.65,247.58,3946193,EQ,35649,110.7,1403656
2026-06-19,246.71,252.9,240.5,242.95,2242963,EQ,23024,97.42,781933
2026-06-22,244.2,261.75,242.2,256.79,8260063,EQ,76682,107.72,2485799
2026-06-23,258.89,266.0,251.11,253.18,5896342,EQ,53236,110.76,1494084
2026-06-24,254.3,267.4,253.81,258.95,6509470,EQ,54155,120.2,1458862
2026-06-25,261.95,261.95,244.0,246.7,3293441,EQ,31659,104.03,1399053
2026-06-29,248.0,255.95,242.5,254.79,2776007,EQ,22791,121.8,925516
2026-06-30,255.78,263.0,243.1,250.7,6347303,EQ,65942,96.26,1420593
2026-07-01,251.0,254.45,238.25,240.35,3381919,EQ,34980,96.68,1412477
2026-07-02,243.5,246.5,241.45,244.1,1353639,EQ,12935,104.65,477978
2026-07-03,246.0,248.6,239.5,243.7,2282182,EQ,18996,120.14,707675
2026-07-06,245.0,245.7,235.0,236.1,1525961,EQ,15353,99.39,801421
2026-07-07,238.0,240.15,231.9,238.35,1353849,EQ,12680,106.77,543839
2026-07-08,234.95,238.45,228.0,230.4,1080496,EQ,18309,59.01,472024
