Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,101.5,101.5,97.2,99.5,7535,EQ,70,107.64,7072
2026-04-21,98.5,99.85,97.5,98.05,6937,EQ,106,65.44,5520
2026-04-22,98.05,101.0,97.05,98.15,5807,EQ,305,19.04,4463
2026-04-23,99.5,99.5,95.05,98.75,107771,EQ,301,358.04,104092
2026-04-24,98.9,100.0,96.65,97.85,72864,EQ,1140,63.92,64605
2026-04-27,96.8,101.65,95.0,97.1,67182,EQ,3412,19.69,37349
2026-04-28,96.95,98.5,94.0,96.6,332544,EQ,1347,246.88,311336
2026-04-29,96.5,96.6,91.75,95.65,370617,EQ,2199,168.54,325938
2026-04-30,95.7,97.9,92.5,97.65,53604,EQ,1207,44.41,29060
2026-05-04,95.3,100.0,95.3,99.6,115238,EQ,2727,42.26,77183
2026-05-05,99.6,103.3,99.6,101.05,134926,EQ,4313,31.28,73780
2026-05-06,101.5,102.2,97.66,101.45,147667,EQ,4864,30.36,78910
2026-05-07,102.9,105.05,101.8,102.73,203908,EQ,3782,53.92,144128
2026-05-08,103.99,103.99,98.5,99.98,45217,EQ,2126,21.27,23864
2026-05-11,98.72,99.81,97.6,98.72,61059,EQ,3043,20.07,37248
2026-05-12,97.73,99.31,93.22,96.02,104231,EQ,3851,27.07,54441
2026-05-13,97.89,98.25,95.38,97.19,64444,EQ,2351,27.41,34703
2026-05-14,98.0,99.66,96.1,97.36,51342,EQ,1124,45.68,26182
2026-05-15,97.44,99.02,94.25,97.53,90937,EQ,2109,43.12,49965
2026-05-18,97.98,97.98,94.1,94.89,32951,EQ,762,43.24,19497
2026-05-19,94.88,97.3,94.3,96.55,66992,EQ,777,86.22,52047
2026-05-20,95.42,97.29,95.42,96.44,59885,EQ,612,97.85,45257
2026-05-21,96.2,96.7,94.9,96.3,53556,EQ,989,54.15,33958
2026-05-22,96.3,97.0,95.4,96.04,49427,EQ,560,88.26,37609
2026-05-25,95.41,98.5,94.47,96.78,57789,EQ,1057,54.67,34233
2026-05-26,96.5,97.1,95.5,96.0,40177,EQ,649,61.91,25462
