Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-08,190.0,227.4,190.0,208.63,64104155,EQ,361097,177.53,30630369
2026-05-11,206.42,222.69,203.33,210.5,17274814,EQ,118585,145.67,4447490
2026-05-12,209.8,213.39,198.35,199.72,4899070,EQ,36936,132.64,1943161
2026-05-13,200.0,211.99,197.3,204.69,5055194,EQ,37599,134.45,1660570
2026-05-14,206.0,209.62,201.4,203.33,4082318,EQ,31863,128.12,1748920
2026-05-15,204.9,211.5,194.34,196.07,3918707,EQ,28072,139.59,1073879
2026-05-18,195.0,208.1,194.75,206.85,3342814,EQ,29005,115.25,1546914
2026-05-19,208.05,232.0,205.0,226.88,11899056,EQ,99519,119.57,3686317
2026-05-20,227.02,257.7,223.01,247.41,15221215,EQ,103961,146.41,3393837
2026-05-21,249.0,259.5,241.12,244.52,5785648,EQ,54102,106.94,1376549
2026-05-22,245.7,248.0,229.05,231.74,3750157,EQ,33168,113.07,1197646
2026-05-25,236.1,254.5,234.1,252.52,5055633,EQ,48159,104.98,1840682
2026-05-26,253.6,273.69,251.4,264.26,6754962,EQ,79485,84.98,1844453
2026-05-27,266.8,272.9,254.0,261.98,3134833,EQ,28085,111.62,945278
2026-05-29,273.0,281.59,267.14,272.46,5366954,EQ,40054,133.99,1732517
2026-06-01,273.95,275.0,258.05,261.7,1919328,EQ,24167,79.42,613368
2026-06-02,259.9,285.9,257.5,275.55,4493557,EQ,44142,101.8,1106406
2026-06-03,277.3,279.85,263.0,264.75,2986730,EQ,28764,103.84,1020768
2026-06-04,265.0,270.9,260.1,269.1,2309945,EQ,27566,83.8,614148
2026-06-05,267.95,273.2,252.5,269.85,4984495,EQ,54208,91.95,1857493
2026-06-08,265.1,282.7,265.1,270.35,4858758,EQ,47526,102.23,1339476
