Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-20,1472.4,1538.9,1366.8,1391.8,48593,EQ,4721.0,10.29,21696.0
2026-01-21,1428.2,1434.1,1376.2,1397.0,25919,EQ,2407.0,10.77,11060.0
2026-01-22,1421.0,1481.8,1408.4,1432.7,39591,EQ,4112.0,9.63,14165.0
2026-01-23,1443.4,1445.9,1377.0,1385.3,27712,EQ,5521.0,5.02,11297.0
2026-01-27,1385.3,1425.0,1351.0,1375.6,31910,EQ,7593.0,4.2,8006.0
2026-01-28,1398.8,1409.8,1378.0,1403.2,30363,EQ,4096.0,7.41,16635.0
2026-01-29,1419.7,1590.8,1390.0,1544.0,94320,EQ,9363.0,10.07,27009.0
2026-01-30,1549.7,1557.8,1487.8,1504.3,30861,EQ,3396.0,9.09,17797.0
2026-02-01,1544.9,1559.8,1430.1,1446.9,35603,EQ,7407.0,4.81,9638.0
2026-02-02,1437.0,1464.6,1413.0,1431.1,18068,EQ,3620.0,4.99,5974.0
2026-02-03,1517.6,1517.6,1448.0,1471.0,18925,EQ,3175.0,5.96,8781.0
2026-02-04,1500.4,1618.7,1484.8,1552.8,33060,EQ,5427,6.09,12278
2026-02-05,1551.2,1551.9,1501.0,1518.3,10157,EQ,1860,5.46,5650
2026-02-06,1518.2,1685.0,1501.5,1642.1,110577,EQ,12609,8.77,29861
2026-02-09,1650.0,1773.1,1649.0,1707.9,65324,EQ,7915,8.25,28285
2026-02-10,1707.3,1746.2,1615.0,1633.1,32802,EQ,4022,8.16,15183
2026-02-11,1670.0,1830.5,1621.0,1790.2,133115,EQ,13036,10.21,47074
2026-02-12,1820.0,1885.0,1740.0,1785.3,132687,EQ,12010,11.05,38124
2026-02-13,1741.0,1768.0,1716.1,1733.2,28695,EQ,3753,7.65,12943
2026-02-16,1733.1,1733.2,1650.1,1657.6,23424,EQ,3684,6.36,13191
2026-02-17,1660.0,1790.0,1657.7,1746.0,49607,EQ,6267,7.92,18287
2026-02-18,1760.0,1776.9,1692.0,1702.0,22670,EQ,3423,6.62,11713
2026-02-19,1715.0,1748.0,1658.0,1666.0,14124,EQ,2761,5.12,7786
2026-02-20,1666.0,1818.0,1666.0,1736.9,109025,EQ,12026,9.07,30585
2026-02-23,1751.1,1770.0,1692.4,1700.4,18452,EQ,2621,7.04,10733
2026-02-24,1700.1,1735.0,1663.6,1717.6,21516,EQ,3182,6.76,10008
2026-02-25,1715.0,1753.7,1670.0,1678.5,18517,EQ,2752,6.73,8929
2026-02-26,1680.5,1750.0,1680.5,1731.3,28160,EQ,3070,9.17,11893
2026-02-27,1743.3,1758.0,1695.0,1705.2,10162,EQ,1448,7.02,4783
2026-03-02,1598.0,1680.8,1592.8,1616.8,55702,EQ,6375,8.74,23113
2026-03-04,1600.0,1600.0,1510.1,1527.2,29455,EQ,4310,6.83,14719
2026-03-05,1550.0,1596.7,1537.0,1567.9,32839,EQ,4167,7.88,14416
2026-03-06,1567.0,1614.6,1542.2,1583.0,21140,EQ,2918,7.24,9975
2026-03-09,1545.1,1575.0,1501.0,1550.7,28762,EQ,3605,7.98,15260
2026-03-10,1581.7,1648.0,1566.5,1627.2,27513,EQ,3243,8.48,13769
2026-03-11,1652.9,1670.0,1604.0,1614.0,20566,EQ,2582,7.97,10659
2026-03-12,1615.9,1624.9,1575.0,1580.6,18689,EQ,2658,7.03,9021
2026-03-13,1595.9,1598.0,1504.0,1508.2,26791,EQ,3961,6.76,17379
2026-03-16,1514.5,1542.9,1480.0,1506.4,22485,EQ,3335,6.74,9948
2026-03-17,1520.6,1578.0,1515.8,1544.2,24481,EQ,2775,8.82,12038
2026-03-18,1544.2,1649.8,1544.2,1627.4,22655,EQ,3045,7.44,10135
2026-03-19,1600.0,1658.0,1565.5,1574.8,28183,EQ,3506,8.04,12792
2026-03-20,1598.4,1707.8,1594.5,1644.6,35405,EQ,4681,7.56,14985
2026-03-23,1625.0,1738.0,1533.1,1555.6,112447,EQ,12039,9.34,37770
2026-03-24,1615.7,1794.0,1586.4,1746.4,210691,EQ,17024,12.38,50942
2026-03-25,1745.1,1840.0,1721.0,1762.4,98120,EQ,8797,11.15,29988
2026-03-27,1750.1,1835.4,1715.5,1761.7,83561,EQ,7915,10.56,32271
2026-03-30,1733.0,1780.9,1677.4,1690.1,50351,EQ,4968,10.14,17250
2026-04-01,1769.9,1852.7,1720.0,1737.5,115596,EQ,9102,12.7,48552
2026-04-02,1696.9,1790.0,1690.1,1780.5,50621,EQ,4400,11.5,15201
2026-04-06,1780.5,1829.0,1764.1,1794.1,50867,EQ,3548,14.34,23084
2026-04-07,1800.0,1850.0,1763.2,1773.9,55033,EQ,4750,11.59,16224
2026-04-08,1845.0,1849.0,1805.0,1827.9,45436,EQ,4027,11.28,19441
2026-04-09,1829.9,1910.0,1792.1,1809.1,78639,EQ,6456,12.18,29535
2026-04-10,1847.1,1888.0,1836.0,1867.0,48680,EQ,4290,11.35,21301
2026-04-13,1830.1,1986.9,1789.0,1887.1,136375,EQ,12383,11.01,38229
2026-04-15,1942.1,1964.6,1860.1,1874.0,78016,EQ,5648,13.81,38918
2026-04-16,1914.0,1936.4,1865.2,1904.6,39598,EQ,3803,10.41,17149
2026-04-17,1918.0,1975.0,1905.7,1910.2,70785,EQ,4915,14.4,30695
2026-04-20,1910.2,1922.8,1850.0,1862.1,54093,EQ,4428,12.22,27553
2026-04-21,1865.0,1992.0,1865.0,1958.4,95334,EQ,8169,11.67,49861
2026-04-22,1992.0,2095.0,1963.0,1994.2,116986,EQ,10727,10.91,36130
2026-04-23,1998.1,2143.2,1998.1,2072.8,105405,EQ,10280,10.25,37329
2026-04-24,2108.0,2109.7,1985.2,2009.7,49739,EQ,5691,8.74,21499
2026-04-27,2017.0,2120.0,2017.0,2108.9,64382,EQ,6095,10.56,29953
2026-04-28,2112.0,2163.0,2065.0,2077.4,51516,EQ,5507,9.35,24538
2026-04-29,2094.0,2119.0,2061.5,2101.9,40164,EQ,4190,9.59,16942
