Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-05,127.0,133.35,127.0,133.35,1855000,ST,806,2301.49,1855000
2026-03-06,140.0,140.0,140.0,140.0,22000,ST,15,1466.67,22000
2026-03-09,133.0,139.7,133.0,135.0,369000,ST,185,1994.59,311000
2026-03-10,133.0,141.75,132.9,141.75,141000,ST,97,1453.61,131000
2026-03-11,144.8,148.8,144.8,147.65,428000,ST,183,2338.8,416000
2026-03-12,147.0,149.9,140.3,147.0,50000,ST,47,1063.83,48000
2026-03-13,147.0,149.0,139.65,139.65,39000,ST,27,1444.44,37000
2026-03-16,139.65,143.2,135.0,142.6,40000,ST,23,1739.13,38000
2026-03-17,143.2,146.9,141.9,144.95,34000,ST,23,1478.26,34000
2026-03-18,147.5,152.15,147.0,147.0,126000,ST,96,1312.5,122000
2026-03-19,147.0,155.0,140.25,141.15,61000,SM,59,1033.9,43000
2026-03-20,145.0,150.0,145.0,146.5,32000,SM,28,1142.86,21000
2026-03-23,146.0,146.0,138.0,140.6,59000,SM,46,1282.61,56000
2026-03-24,146.0,153.45,146.0,148.5,163000,SM,62,2629.03,139000
2026-03-25,151.95,154.0,147.0,147.05,113000,SM,37,3054.05,100000
2026-03-27,147.05,147.05,143.0,143.0,18000,SM,12,1500.0,17000
2026-03-30,145.9,145.9,137.0,138.15,9000,SM,7,1285.71,5000
2026-04-01,142.0,142.2,136.0,139.85,23000,SM,20,1150.0,16000
2026-04-02,142.65,167.8,138.0,165.75,167000,SM,86,1941.86,86000
2026-04-06,163.0,163.5,157.25,162.95,31000,SM,25,1240.0,23000
2026-04-07,164.9,164.9,155.0,155.0,81000,SM,18,4500.0,77000
2026-04-08,161.95,162.0,155.0,159.75,44000,SM,33,1333.33,37000
2026-04-09,159.95,159.95,155.0,155.0,7000,SM,6,1166.67,6000
2026-04-10,155.0,161.5,152.5,158.55,65000,SM,49,1326.53,55000
2026-04-13,159.95,162.0,157.5,157.5,17000,SM,16,1062.5,15000
2026-04-15,162.0,162.0,159.0,160.5,19000,SM,16,1187.5,19000
2026-04-16,130.0,159.85,130.0,153.15,20000,SM,19,1052.63,11000
2026-04-17,156.0,169.95,156.0,159.0,24000,SM,23,1043.48,19000
