Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-04,375.0,433.0,360.0,411.7,4798593,EQ,50207,95.58,2115136
2026-03-05,410.0,413.9,364.0,369.6,670626,EQ,17340,38.68,119608
2026-03-06,365.1,402.95,360.8,394.1,738711,EQ,17567,42.05,170589
2026-03-09,375.0,400.0,363.2,386.3,203958,EQ,6874,29.67,40330
2026-03-10,386.3,394.75,375.75,387.35,155367,EQ,4585,33.89,39216
2026-03-11,385.55,404.05,379.1,390.15,248368,EQ,5329,46.61,106733
2026-03-12,391.25,399.3,383.4,392.8,188212,EQ,5552,33.9,109524
2026-03-13,388.95,402.5,374.8,383.5,272148,EQ,7600,35.81,55914
2026-03-16,389.25,391.65,361.0,365.45,153257,EQ,4166,36.79,72454
2026-03-17,368.6,375.0,361.65,366.15,153734,EQ,4849,31.7,87965
2026-03-18,367.25,376.1,365.0,371.65,292256,EQ,5493,53.21,232541
2026-03-19,365.0,371.45,362.05,365.4,42020,EQ,2822,14.89,15895
2026-03-20,366.0,373.0,363.45,368.3,45898,EQ,1472,31.18,33309
2026-03-23,363.0,368.2,331.0,341.15,87264,EQ,4003,21.8,41506
2026-03-24,350.0,369.9,345.05,361.55,37476,EQ,1673,22.4,18944
2026-03-25,361.55,377.7,355.05,363.05,44877,EQ,2355,19.06,17150
2026-03-27,364.85,369.0,342.3,350.85,171974,EQ,2564,67.07,137701
2026-03-30,349.95,349.95,324.25,331.8,103363,EQ,2751,37.57,47991
2026-04-01,334.0,356.7,334.0,342.1,73742,EQ,6391,11.54,40929
2026-04-02,340.0,351.9,327.75,348.35,38327,EQ,1785,21.47,13731
2026-04-06,344.6,368.0,342.25,363.8,192849,EQ,7350,26.24,45217
2026-04-07,365.95,416.5,362.55,374.1,1033796,EQ,17899,57.76,195523
2026-04-08,385.0,388.25,370.3,374.4,479957,EQ,5653,84.9,317143
2026-04-09,374.45,386.9,370.0,376.05,96895,EQ,3713,26.1,44791
2026-04-10,377.65,386.85,370.8,375.25,130906,EQ,3831,34.17,66442
