Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-21,6029.0,6099.0,5969.95,6072.0,43,EQ,11,3.91,41
2026-04-22,6072.0,6072.05,5887.95,5900.0,209,EQ,32,6.53,202
2026-04-23,5899.95,5900.0,5811.9,5850.35,94,EQ,18,5.22,56
2026-04-24,5817.35,5818.05,5500.0,5723.0,63,EQ,29,2.17,32
2026-04-27,5682.15,5750.0,5599.95,5744.6,101,EQ,23,4.39,89
2026-04-28,5715.9,5862.0,5620.0,5783.35,122,EQ,20,6.1,104
2026-04-29,5783.3,6198.0,5700.0,5982.0,193,EQ,82,2.35,143
2026-04-30,5950.0,5976.0,5950.0,5976.0,2,EQ,2,1.0,2
2026-05-04,5550.0,5900.0,5550.0,5821.5,28,EQ,13,2.15,22
2026-05-05,5301.0,5697.5,5301.0,5533.5,419,EQ,94,4.46,349
2026-05-06,6075.5,6075.5,5561.0,5562.0,63,EQ,21,3.0,54
2026-05-07,5578.5,5900.0,5450.0,5500.0,168,EQ,64,2.62,149
2026-05-08,5500.0,5852.0,5350.0,5482.5,58,EQ,26,2.23,48
2026-05-11,5482.0,5498.0,5455.0,5477.0,81,EQ,20,4.05,81
2026-05-12,5400.0,5500.0,5270.0,5350.0,70,EQ,22,3.18,70
2026-05-13,5549.0,5549.0,4825.0,5539.5,52,EQ,13,4.0,51
2026-05-14,5539.5,5539.5,5250.0,5458.5,43,EQ,15,2.87,38
2026-05-15,5458.5,5458.5,5250.0,5250.0,2,EQ,2,1.0,2
2026-05-18,5450.5,5700.0,5000.5,5300.0,157,EQ,47,3.34,74
2026-05-19,5155.0,5450.0,5155.0,5200.5,95,EQ,16,5.94,91
2026-05-20,5206.5,5450.0,5206.5,5347.0,81,EQ,24,3.38,65
2026-05-21,5450.0,5554.0,5400.0,5495.0,257,EQ,25,10.28,230
2026-05-22,5495.0,5549.0,5305.0,5400.0,118,EQ,28,4.21,106
2026-05-25,5400.0,5410.0,5252.5,5400.0,54,EQ,11,4.91,51
2026-05-26,5400.0,5400.0,5400.0,5400.0,30,EQ,3,10.0,30
